rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,268,37308,829,0
2,696,14367,615,0
3,535,18658,605,0
4,796,12555,602,0
5,393,25403,580,0
6,280,35640,576,0
7,234,42629,541,0
8,556,17955,528,0
