rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,1587,6299,639,0
2,159,62846,615,0
3,510,19570,570,0
4,255,39141,545,0
5,235,42551,511,0
6,206,48348,496,0
7,636,15716,489,0
8,246,40604,487,0
