rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,675,14812,913,0
2,225,44437,837,0
3,337,29624,802,0
4,176,56512,724,0
5,310,32217,647,0
6,570,17540,644,0
7,353,28253,603,0
8,762,13114,579,0
