rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,454,21998,776,0
2,4090,2444,619,0
3,634,15764,587,0
4,613,16296,549,0
5,8180,1222,543,0
6,1226,8150,532,0
7,411,24303,531,0
8,909,10992,531,0
