rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,252,39648,576,0
2,859,11638,554,0
3,357,27935,536,0
4,6658,1501,495,0
5,180,55346,494,0
6,156,63986,488,0
7,3875,2580,456,0
8,608,16436,449,0
