rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,4112,2431,512,0
2,2056,4863,722,0
3,8913,1121,689,0
4,5339,1872,687,0
5,1670,5985,681,0
6,4456,2243,642,0
7,3339,2994,633,0
8,181,55237,629,0
