rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,263,37976,618,0
2,190,52539,591,0
3,296,33724,554,0
4,694,14406,546,0
5,142,69988,543,0
6,829,12062,520,0
7,1389,7198,514,0
8,2226,4492,502,0
