rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,49796,200,743,0
2,12449,803,1056,0
3,9916,1008,1022,0
4,24898,401,958,0
5,4958,2016,690,0
6,3551,2815,650,0
7,16598,602,639,0
8,5532,1807,598,0
