rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,515,19396,488,0
2,257,38792,609,0
3,176,56804,586,0
4,298,33505,576,0
5,673,14851,568,0
6,1936,5164,510,0
7,431,23172,506,0
8,219,45659,487,0
