rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,589,16955,524,0
2,263,37936,500,0
3,126,79095,489,0
4,294,33920,486,0
5,210,47458,484,0
6,703,14205,465,0
7,324,30860,456,0
8,1228,8137,455,0
