dm,width,sigma_x100,t,verdict
0,1,891,29174,-
0,2,775,27576,-
0,4,544,27576,-
0,8,470,9637,-
0,16,464,41184,-
0,32,511,4118,-
0,64,438,4113,-
0,128,418,4117,-
3174,1,891,29174,-
3174,2,775,27576,-
3174,4,544,27576,-
3174,8,470,9637,-
3174,16,464,41184,-
3174,32,511,4118,-
3174,64,438,4113,-
3174,128,418,4117,-
6349,1,891,29174,-
6349,2,775,27576,-
6349,4,544,27576,-
6349,8,470,9637,-
6349,16,464,41184,-
6349,32,511,4118,-
6349,64,438,4113,-
6349,128,418,4117,-
9523,1,957,14011,-
9523,2,805,27576,-
9523,4,579,27576,-
9523,8,463,54620,-
9523,16,489,50350,-
9523,32,517,4115,-
9523,64,438,4113,-
9523,128,408,4116,-
12698,1,970,14011,-
12698,2,691,27576,-
12698,4,540,51530,-
12698,8,477,9637,-
12698,16,494,50350,-
12698,32,518,4115,-
12698,64,450,4113,-
12698,128,406,4116,-
15873,1,802,8363,-
15873,2,701,28836,-
15873,4,576,51530,-
15873,8,472,9637,-
15873,16,517,50350,-
15873,32,516,4115,-
15873,64,430,4113,-
15873,128,411,4115,-
19047,1,794,8363,-
19047,2,704,27576,-
19047,4,573,29150,-
19047,8,478,9637,-
19047,16,515,50350,-
19047,32,511,4115,-
19047,64,431,4112,-
19047,128,407,4115,-
22222,1,980,28835,-
22222,2,737,3040,-
22222,4,588,29149,-
22222,8,466,9637,-
22222,16,500,50349,-
22222,32,518,4114,-
22222,64,431,4130,-
22222,128,402,4115,-
25396,1,1012,28835,-
25396,2,717,28836,-
25396,4,607,44475,-
25396,8,465,52312,-
25396,16,503,50350,-
25396,32,516,4115,-
25396,64,428,4113,-
25396,128,407,4118,-
28571,1,1012,28835,-
28571,2,717,28836,-
28571,4,607,44475,-
28571,8,465,52312,-
28571,16,503,50350,-
28571,32,516,4115,-
28571,64,428,4113,-
28571,128,407,4118,-
31746,1,817,24665,-
31746,2,666,33064,-
31746,4,588,40104,-
31746,8,478,25270,-
31746,16,490,50349,-
31746,32,511,4115,-
31746,64,437,4113,-
31746,128,401,4118,-
34920,1,827,24665,-
34920,2,661,3040,-
34920,4,586,40104,-
34920,8,506,52312,-
34920,16,507,50349,-
34920,32,524,4114,-
34920,64,436,4113,-
34920,128,405,4118,-
38095,1,828,30707,-
38095,2,672,40104,-
38095,4,603,40103,-
38095,8,485,52312,-
38095,16,491,50349,-
38095,32,522,4114,-
38095,64,436,4113,-
38095,128,401,4110,-
41269,1,865,30707,-
41269,2,672,40104,-
41269,4,585,40104,-
41269,8,480,41182,-
41269,16,480,50349,-
41269,32,524,4114,-
41269,64,445,4113,-
41269,128,400,4110,-
44444,1,971,40103,-
44444,2,817,40103,-
44444,4,575,40103,-
44444,8,475,50352,-
44444,16,479,50348,-
44444,32,502,4113,-
44444,64,448,4113,-
44444,128,399,4110,-
47619,1,1022,40103,-
47619,2,836,40103,-
47619,4,593,40102,-
47619,8,488,50352,-
47619,16,479,50348,-
47619,32,501,4113,-
47619,64,450,4113,-
47619,128,399,4111,-
50793,1,841,51531,-
50793,2,836,40103,-
50793,4,562,40102,-
50793,8,484,47242,-
50793,16,463,50348,-
50793,32,494,4112,-
50793,64,444,4116,-
50793,128,408,4110,-
53968,1,841,51531,-
53968,2,836,40103,-
53968,4,562,40102,-
53968,8,484,47242,-
53968,16,463,50348,-
53968,32,494,4112,-
53968,64,444,4116,-
53968,128,408,4110,-
57142,1,841,51531,-
57142,2,836,40103,-
57142,4,562,40102,-
57142,8,484,47242,-
57142,16,463,50348,-
57142,32,494,4112,-
57142,64,444,4116,-
57142,128,408,4110,-
60317,1,839,20015,-
60317,2,783,20818,-
60317,4,567,208,-
60317,8,495,50351,-
60317,16,463,47248,-
60317,32,500,4111,-
60317,64,467,4113,-
60317,128,402,4107,-
63492,1,839,20015,-
63492,2,783,20818,-
63492,4,567,208,-
63492,8,495,50351,-
63492,16,463,47248,-
63492,32,500,4111,-
63492,64,467,4113,-
63492,128,402,4107,-
66666,1,941,19381,-
66666,2,717,19381,-
66666,4,595,208,-
66666,8,498,47241,-
66666,16,488,50350,-
66666,32,464,4114,-
66666,64,474,4113,-
66666,128,403,4108,-
69841,1,824,19381,-
69841,2,733,19381,-
69841,4,582,208,-
69841,8,475,41177,-
69841,16,484,50350,-
69841,32,467,4114,-
69841,64,484,4113,-
69841,128,405,4108,-
73015,1,809,39514,-
73015,2,664,51952,-
73015,4,603,208,-
73015,8,485,50351,-
73015,16,482,50350,-
73015,32,465,4107,-
73015,64,494,4113,-
