dm,width,sigma_x100,t,verdict
0,1,990,33178,-
0,2,709,33178,-
0,4,581,53126,-
0,8,542,35047,-
0,16,505,35043,-
0,32,485,35047,-
0,64,460,26448,-
0,128,405,26425,-
3174,1,990,33178,-
3174,2,709,33178,-
3174,4,581,53126,-
3174,8,542,35047,-
3174,16,505,35043,-
3174,32,485,35047,-
3174,64,460,26448,-
3174,128,405,26425,-
6349,1,990,33178,-
6349,2,709,33178,-
6349,4,581,53126,-
6349,8,542,35047,-
6349,16,505,35043,-
6349,32,485,35047,-
6349,64,460,26448,-
6349,128,405,26425,-
9523,1,1163,33178,-
9523,2,747,33178,-
9523,4,562,29179,-
9523,8,564,21276,-
9523,16,483,35043,-
9523,32,470,50440,-
9523,64,464,26447,-
9523,128,405,26425,-
12698,1,1168,33178,-
12698,2,708,29178,-
12698,4,588,29179,-
12698,8,585,21276,-
12698,16,496,35043,-
12698,32,466,35047,-
12698,64,466,26447,-
12698,128,403,26425,-
15873,1,1090,33178,-
15873,2,721,61639,-
15873,4,631,29179,-
15873,8,576,21275,-
15873,16,491,35043,-
15873,32,481,50438,-
15873,64,473,26446,-
15873,128,397,26424,-
19047,1,1019,33178,-
19047,2,721,61639,-
19047,4,617,29179,-
19047,8,581,21275,-
19047,16,486,35043,-
19047,32,473,50440,-
19047,64,477,26446,-
19047,128,400,26424,-
22222,1,1002,33178,-
22222,2,762,21273,-
22222,4,738,21274,-
22222,8,594,21276,-
22222,16,514,35042,-
22222,32,478,50439,-
22222,64,479,26446,-
22222,128,399,50391,-
25396,1,1038,33178,-
25396,2,743,21273,-
25396,4,723,21274,-
25396,8,580,21276,-
25396,16,511,2031,-
25396,32,484,50438,-
25396,64,482,26445,-
25396,128,401,50391,-
28571,1,1038,33178,-
28571,2,743,21273,-
28571,4,723,21274,-
28571,8,580,21276,-
28571,16,511,2031,-
28571,32,484,50438,-
28571,64,482,26445,-
28571,128,401,50391,-
31746,1,1043,33178,-
31746,2,912,21273,-
31746,4,748,21273,-
31746,8,584,21275,-
31746,16,491,35042,-
31746,32,507,50438,-
31746,64,479,26441,-
31746,128,395,26424,-
34920,1,990,33178,-
34920,2,878,21273,-
34920,4,735,21273,-
34920,8,568,21275,-
34920,16,506,35042,-
34920,32,501,50438,-
34920,64,485,26444,-
34920,128,396,50390,-
38095,1,1087,61411,-
38095,2,994,21273,-
38095,4,735,21272,-
38095,8,560,21275,-
38095,16,459,35042,-
38095,32,480,35047,-
38095,64,487,26440,-
38095,128,395,26426,-
41269,1,1168,33178,-
41269,2,961,21273,-
41269,4,748,21273,-
41269,8,563,21275,-
41269,16,466,2031,-
41269,32,476,35047,-
41269,64,494,26441,-
41269,128,394,26423,-
44444,1,1100,21272,-
44444,2,880,21272,-
44444,4,738,21272,-
44444,8,540,21273,-
44444,16,452,35042,-
44444,32,481,35041,-
44444,64,512,26439,-
44444,128,392,26423,-
47619,1,1100,33178,-
47619,2,872,21272,-
47619,4,716,21272,-
47619,8,544,21273,-
47619,16,449,35042,-
47619,32,482,35041,-
47619,64,509,26439,-
47619,128,397,26425,-
50793,1,1095,33178,-
50793,2,767,64722,-
50793,4,749,21272,-
50793,8,546,21270,-
50793,16,442,26424,-
50793,32,487,35041,-
50793,64,517,26448,-
50793,128,394,26425,-
53968,1,1095,33178,-
53968,2,767,64722,-
53968,4,749,21272,-
53968,8,546,21270,-
53968,16,442,26424,-
53968,32,487,35041,-
53968,64,517,26448,-
53968,128,394,26425,-
