dm,width,sigma_x100,t,verdict
0,1,862,17854,-
0,2,660,12832,-
0,4,620,45258,-
0,8,514,9575,-
0,16,502,42607,-
0,32,385,40184,-
0,64,351,64569,-
0,128,400,27578,-
3174,1,862,17854,-
3174,2,660,12832,-
3174,4,620,45258,-
3174,8,514,9575,-
3174,16,502,42607,-
3174,32,385,40184,-
3174,64,351,64569,-
3174,128,400,27578,-
6349,1,862,17854,-
6349,2,660,12832,-
6349,4,620,45258,-
6349,8,514,9575,-
6349,16,502,42607,-
6349,32,385,40184,-
6349,64,351,64569,-
6349,128,400,27578,-
9523,1,886,12830,-
9523,2,797,57111,-
9523,4,612,57111,-
9523,8,549,42603,-
9523,16,511,42607,-
9523,32,383,40184,-
9523,64,347,1770,-
9523,128,405,27579,-
12698,1,1016,12830,-
12698,2,790,57111,-
12698,4,625,57111,-
12698,8,536,9574,-
12698,16,499,42606,-
12698,32,383,40184,-
12698,64,352,1771,-
12698,128,403,27579,-
15873,1,870,41754,-
15873,2,779,57110,-
15873,4,642,57110,-
15873,8,527,47663,-
15873,16,507,42604,-
15873,32,379,58467,-
15873,64,362,1772,-
15873,128,406,27578,-
19047,1,858,41754,-
19047,2,840,57110,-
19047,4,631,57111,-
19047,8,519,47663,-
19047,16,516,42603,-
19047,32,379,40183,-
19047,64,356,1772,-
19047,128,406,27579,-
22222,1,815,40588,-
22222,2,654,57110,-
22222,4,648,57110,-
22222,8,502,47663,-
22222,16,508,42603,-
22222,32,385,23736,-
22222,64,363,1771,-
22222,128,408,27568,-
25396,1,816,40588,-
25396,2,614,12829,-
25396,4,646,57110,-
25396,8,506,17858,-
25396,16,530,42604,-
25396,32,380,49142,-
25396,64,363,1770,-
25396,128,407,27578,-
28571,1,816,40588,-
28571,2,614,12829,-
28571,4,646,57110,-
28571,8,506,17858,-
28571,16,530,42604,-
28571,32,380,49142,-
28571,64,363,1770,-
28571,128,407,27578,-
31746,1,914,17854,-
31746,2,808,17855,-
31746,4,621,10672,-
31746,8,513,17858,-
31746,16,512,42604,-
31746,32,390,23735,-
31746,64,375,1770,-
31746,128,404,27578,-
34920,1,915,17854,-
34920,2,783,17855,-
34920,4,614,57109,-
34920,8,513,17858,-
34920,16,528,42603,-
34920,32,384,23735,-
34920,64,372,1771,-
34920,128,401,27578,-
38095,1,1031,17854,-
38095,2,719,17854,-
38095,4,628,10671,-
38095,8,512,42604,-
38095,16,529,42603,-
38095,32,399,23734,-
38095,64,373,1771,-
38095,128,400,27568,-
41269,1,1094,17854,-
