dm,width,sigma_x100,t,verdict
0,1,970,61851,-
0,2,921,9035,-
0,4,692,9036,-
0,8,511,56928,-
0,16,473,372,-
0,32,361,2402,-
0,64,396,22064,-
0,128,341,32345,-
3174,1,970,61851,-
3174,2,921,9035,-
3174,4,692,9036,-
3174,8,511,56928,-
3174,16,473,372,-
3174,32,361,2402,-
3174,64,396,22064,-
3174,128,341,32345,-
6349,1,970,61851,-
6349,2,921,9035,-
6349,4,692,9036,-
6349,8,511,56928,-
6349,16,473,372,-
6349,32,361,2402,-
6349,64,396,22064,-
6349,128,341,32345,-
9523,1,919,43853,-
9523,2,784,42304,-
9523,4,713,9034,-
9523,8,564,56926,-
9523,16,506,371,-
9523,32,376,2402,-
9523,64,385,22064,-
9523,128,350,32345,-
12698,1,856,1382,-
12698,2,769,42304,-
12698,4,703,9035,-
12698,8,564,56926,-
12698,16,468,371,-
12698,32,373,2402,-
12698,64,389,22064,-
12698,128,346,32345,-
15873,1,1046,35651,-
15873,2,819,42303,-
15873,4,732,9034,-
15873,8,576,56925,-
15873,16,484,371,-
15873,32,384,2402,-
15873,64,405,42272,-
15873,128,348,32345,-
19047,1,1076,35651,-
19047,2,799,42303,-
19047,4,716,9034,-
19047,8,571,56925,-
19047,16,485,371,-
19047,32,384,2402,-
19047,64,406,42272,-
19047,128,346,32345,-
22222,1,933,33638,-
22222,2,700,1383,-
22222,4,604,9033,-
22222,8,581,56925,-
22222,16,469,369,-
22222,32,414,2402,-
22222,64,392,42272,-
22222,128,345,32345,-
25396,1,1002,33638,-
25396,2,698,1383,-
25396,4,559,9033,-
25396,8,585,56924,-
25396,16,449,369,-
25396,32,417,2402,-
25396,64,395,42272,-
25396,128,341,32344,-
28571,1,1002,33638,-
28571,2,698,1383,-
28571,4,559,9033,-
28571,8,585,56924,-
28571,16,449,369,-
28571,32,417,2402,-
28571,64,395,42272,-
28571,128,341,32344,-
31746,1,884,19793,-
31746,2,735,19794,-
31746,4,683,19795,-
31746,8,568,56924,-
31746,16,441,371,-
