dm,width,sigma_x100,t,verdict
0,1,951,26827,-
0,2,749,26828,-
0,4,620,58656,-
0,8,498,51930,-
0,16,507,26835,-
0,32,437,1631,-
0,64,408,13429,-
0,128,353,52328,-
3174,1,951,26827,-
3174,2,749,26828,-
3174,4,620,58656,-
3174,8,498,51930,-
3174,16,507,26835,-
3174,32,437,1631,-
3174,64,408,13429,-
3174,128,353,52328,-
6349,1,951,26827,-
6349,2,749,26828,-
6349,4,620,58656,-
6349,8,498,51930,-
6349,16,507,26835,-
6349,32,437,1631,-
6349,64,408,13429,-
6349,128,353,52328,-
9523,1,895,997,-
9523,2,703,54508,-
9523,4,628,51928,-
9523,8,518,58656,-
9523,16,516,48830,-
9523,32,438,1630,-
9523,64,413,13429,-
9523,128,351,31151,-
12698,1,851,40797,-
12698,2,693,54508,-
12698,4,628,51928,-
12698,8,503,26830,-
12698,16,517,26834,-
12698,32,444,1630,-
12698,64,420,13429,-
12698,128,353,31151,-
15873,1,954,40797,-
15873,2,700,10457,-
15873,4,602,51928,-
15873,8,524,51929,-
15873,16,525,48830,-
15873,32,472,1629,-
15873,64,412,13429,-
15873,128,354,23846,-
19047,1,944,40797,-
19047,2,677,10457,-
19047,4,580,51928,-
19047,8,510,58655,-
19047,16,523,48830,-
19047,32,471,1629,-
19047,64,407,13429,-
19047,128,353,23846,-
22222,1,888,11557,-
22222,2,665,10456,-
22222,4,603,51927,-
22222,8,510,58654,-
22222,16,492,1637,-
22222,32,476,1629,-
22222,64,414,13428,-
22222,128,353,23846,-
25396,1,897,11557,-
25396,2,642,10456,-
25396,4,564,51927,-
25396,8,501,58654,-
25396,16,491,1636,-
25396,32,467,1628,-
25396,64,413,13427,-
25396,128,352,23846,-
28571,1,897,11557,-
28571,2,642,10456,-
28571,4,564,51927,-
28571,8,501,58654,-
28571,16,491,1636,-
28571,32,467,1628,-
28571,64,413,13427,-
28571,128,352,23846,-
31746,1,950,37445,-
31746,2,652,46800,-
31746,4,561,8808,-
31746,8,534,8809,-
31746,16,498,1635,-
31746,32,481,1628,-
31746,64,409,13427,-
31746,128,350,23844,-
34920,1,890,37445,-
34920,2,664,37445,-
34920,4,526,42010,-
34920,8,535,8809,-
34920,16,508,1635,-
34920,32,480,1627,-
34920,64,410,13426,-
34920,128,348,23844,-
38095,1,1057,46799,-
38095,2,810,26822,-
38095,4,523,8807,-
38095,8,512,8808,-
38095,16,523,1634,-
38095,32,480,1627,-
38095,64,412,13426,-
38095,128,349,23843,-
41269,1,1070,46799,-
41269,2,732,26822,-
41269,4,559,43276,-
41269,8,495,8808,-
41269,16,510,1634,-
41269,32,493,1627,-
41269,64,422,13426,-
41269,128,348,23844,-
44444,1,1116,26821,-
44444,2,744,26821,-
44444,4,559,43276,-
44444,8,519,8806,-
44444,16,505,1633,-
44444,32,482,1627,-
44444,64,410,13431,-
44444,128,353,15968,-
47619,1,1153,26821,-
47619,2,763,26821,-
47619,4,560,8806,-
47619,8,526,8806,-
47619,16,524,1633,-
47619,32,483,1626,-
47619,64,414,13425,-
47619,128,349,15968,-
50793,1,881,26820,-
50793,2,785,26821,-
50793,4,590,46555,-
50793,8,556,8806,-
50793,16,515,1634,-
50793,32,483,1626,-
50793,64,416,13427,-
50793,128,354,23841,-
53968,1,881,26820,-
53968,2,785,26821,-
53968,4,590,46555,-
53968,8,556,8806,-
53968,16,515,1634,-
53968,32,483,1626,-
53968,64,416,13427,-
53968,128,354,23841,-
57142,1,881,26820,-
57142,2,785,26821,-
57142,4,590,46555,-
57142,8,556,8806,-
57142,16,515,1634,-
57142,32,483,1626,-
57142,64,416,13427,-
57142,128,354,23841,-
60317,1,932,40797,-
60317,2,721,40798,-
60317,4,662,46554,-
60317,8,570,8805,-
60317,16,515,1633,-
60317,32,481,1625,-
60317,64,419,13431,-
60317,128,350,23841,-
63492,1,932,40797,-
63492,2,721,40798,-
63492,4,662,46554,-
63492,8,570,8805,-
63492,16,515,1633,-
63492,32,481,1625,-
63492,64,419,13431,-
63492,128,350,23841,-
66666,1,909,40797,-
66666,2,736,46553,-
66666,4,676,46554,-
66666,8,541,1633,-
66666,16,498,1632,-
66666,32,460,1624,-
66666,64,425,13427,-
66666,128,356,23839,-
69841,1,981,40797,-
69841,2,782,40797,-
69841,4,669,46554,-
69841,8,524,8804,-
69841,16,523,46560,-
69841,32,479,1624,-
69841,64,428,13431,-
69841,128,356,23839,-
73015,1,906,40797,-
73015,2,738,46552,-
73015,4,593,46553,-
73015,8,533,1632,-
73015,16,517,1632,-
73015,32,450,1624,-
73015,64,433,13426,-
73015,128,363,23838,-
76190,1,891,40797,-
76190,2,730,46552,-
76190,4,600,46552,-
76190,8,569,1632,-
76190,16,484,1632,-
76190,32,449,1624,-
76190,64,432,13426,-
76190,128,366,23838,-
79365,1,860,26817,-
79365,2,701,46552,-
79365,4,627,46552,-
79365,8,545,1632,-
79365,16,504,1631,-
79365,32,459,1623,-
79365,64,431,13429,-
79365,128,365,23838,-
82539,1,878,32907,-
82539,2,660,46551,-
82539,4,643,46552,-
82539,8,549,1631,-
82539,16,506,1631,-
82539,32,444,1623,-
82539,64,439,13425,-
82539,128,366,23838,-
85714,1,898,32907,-
85714,2,660,8802,-
85714,4,636,46552,-
85714,8,582,1631,-
85714,16,502,1628,-
85714,32,442,1623,-
85714,64,439,13425,-
85714,128,366,23837,-
88888,1,826,8801,-
88888,2,738,31537,-
88888,4,608,31536,-
88888,8,547,53301,-
88888,16,502,1627,-
88888,32,453,1619,-
88888,64,427,13429,-
88888,128,367,23837,-
92063,1,863,8801,-
92063,2,754,31537,-
92063,4,625,31536,-
