dm,width,sigma_x100,t,verdict
0,1,1081,8351,-
0,2,897,61958,-
0,4,736,61957,-
0,8,540,22703,-
0,16,468,8879,-
0,32,434,23990,-
0,64,460,7959,-
0,128,447,23282,-
3174,1,1081,8351,-
3174,2,897,61958,-
3174,4,736,61957,-
3174,8,540,22703,-
3174,16,468,8879,-
3174,32,434,23990,-
3174,64,460,7959,-
3174,128,447,23282,-
6349,1,1081,8351,-
6349,2,897,61958,-
6349,4,736,61957,-
6349,8,540,22703,-
6349,16,468,8879,-
6349,32,434,23990,-
6349,64,460,7959,-
6349,128,447,23282,-
9523,1,927,8350,-
9523,2,799,61957,-
9523,4,713,61957,-
9523,8,542,22703,-
9523,16,488,8878,-
9523,32,434,23990,-
9523,64,464,7959,-
9523,128,450,23282,-
12698,1,1121,8350,-
12698,2,807,61957,-
12698,4,725,61957,-
12698,8,535,22703,-
12698,16,484,8878,-
12698,32,439,23990,-
12698,64,458,7958,-
12698,128,450,23282,-
15873,1,1018,38934,-
15873,2,885,61956,-
15873,4,699,61957,-
15873,8,513,30955,-
15873,16,458,732,-
15873,32,428,7975,-
15873,64,451,7958,-
15873,128,440,23281,-
19047,1,1013,38934,-
19047,2,883,61956,-
19047,4,693,61957,-
19047,8,503,30955,-
19047,16,460,732,-
19047,32,435,7975,-
19047,64,456,7958,-
19047,128,444,61908,-
22222,1,921,61955,-
22222,2,900,61955,-
22222,4,682,61956,-
22222,8,515,30956,-
22222,16,472,30960,-
22222,32,428,7975,-
22222,64,458,7957,-
22222,128,448,61908,-
25396,1,988,8874,-
25396,2,944,61955,-
25396,4,704,22701,-
25396,8,494,30956,-
25396,16,466,731,-
25396,32,425,23989,-
25396,64,463,7957,-
25396,128,450,61907,-
28571,1,988,8874,-
28571,2,944,61955,-
28571,4,704,22701,-
28571,8,494,30956,-
28571,16,466,731,-
28571,32,425,23989,-
28571,64,463,7957,-
28571,128,450,61907,-
31746,1,1044,35556,-
31746,2,730,61955,-
31746,4,618,61955,-
31746,8,515,30955,-
31746,16,481,30959,-
31746,32,423,7975,-
31746,64,458,7956,-
31746,128,448,61907,-
34920,1,1052,8873,-
34920,2,769,61954,-
34920,4,667,22700,-
34920,8,516,727,-
34920,16,483,30960,-
34920,32,423,7975,-
34920,64,463,7956,-
34920,128,446,61906,-
38095,1,958,47500,-
38095,2,780,47500,-
38095,4,624,22700,-
38095,8,533,727,-
38095,16,486,731,-
38095,32,420,7975,-
38095,64,455,7956,-
38095,128,452,61906,-
41269,1,975,47500,-
41269,2,768,47500,-
41269,4,640,22700,-
41269,8,528,727,-
41269,16,489,30960,-
41269,32,420,7975,-
41269,64,451,7956,-
41269,128,457,61906,-
44444,1,1111,47499,-
44444,2,841,19165,-
44444,4,608,19166,-
44444,8,515,30955,-
44444,16,530,30960,-
44444,32,433,27402,-
44444,64,440,7957,-
44444,128,454,61906,-
47619,1,1045,47499,-
47619,2,845,19165,-
47619,4,613,19166,-
47619,8,511,30955,-
47619,16,528,30960,-
47619,32,437,27402,-
47619,64,446,7957,-
47619,128,452,61906,-
50793,1,977,47498,-
50793,2,778,61951,-
50793,4,597,22700,-
50793,8,530,30955,-
50793,16,541,30959,-
50793,32,436,7976,-
50793,64,447,7956,-
50793,128,458,61906,-
53968,1,977,47498,-
53968,2,778,61951,-
53968,4,597,22700,-
53968,8,530,30955,-
53968,16,541,30959,-
53968,32,436,7976,-
53968,64,447,7956,-
53968,128,458,61906,-
57142,1,977,47498,-
57142,2,778,61951,-
57142,4,597,22700,-
57142,8,530,30955,-
57142,16,541,30959,-
57142,32,436,7976,-
57142,64,447,7956,-
57142,128,458,61906,-
60317,1,945,47497,-
60317,2,762,61950,-
60317,4,572,19164,-
60317,8,550,4046,-
60317,16,531,30958,-
60317,32,445,7975,-
60317,64,441,23242,-
60317,128,456,61905,-
63492,1,945,47497,-
63492,2,762,61950,-
63492,4,572,19164,-
63492,8,550,4046,-
63492,16,531,30958,-
63492,32,445,7975,-
63492,64,441,23242,-
63492,128,456,61905,-
66666,1,878,47496,-
66666,2,739,35660,-
66666,4,609,61948,-
66666,8,549,4046,-
66666,16,485,30957,-
66666,32,441,7975,-
66666,64,445,23242,-
66666,128,459,61905,-
69841,1,958,47496,-
69841,2,720,61949,-
69841,4,602,27413,-
69841,8,541,4046,-
69841,16,526,30957,-
69841,32,435,7975,-
69841,64,457,23242,-
69841,128,459,61905,-
73015,1,920,4042,-
73015,2,842,61948,-
73015,4,684,27412,-
73015,8,574,4046,-
73015,16,490,27411,-
73015,32,443,7975,-
73015,64,444,23242,-
73015,128,449,61905,-
76190,1,958,4042,-
76190,2,828,61948,-
76190,4,642,61947,-
76190,8,567,4046,-
76190,16,497,27411,-
76190,32,428,7975,-
76190,64,443,23242,-
76190,128,445,61905,-
79365,1,953,4042,-
79365,2,817,61948,-
79365,4,612,61949,-
79365,8,557,4046,-
79365,16,499,27411,-
79365,32,424,7975,-
79365,64,449,23241,-
79365,128,447,61904,-
82539,1,868,8340,-
82539,2,789,61947,-
82539,4,655,27411,-
82539,8,560,19163,-
82539,16,514,27410,-
82539,32,435,27402,-
82539,64,448,23242,-
82539,128,446,61904,-
85714,1,822,8340,-
85714,2,778,61947,-
85714,4,624,61946,-
85714,8,567,19163,-
85714,16,521,27410,-
85714,32,437,27402,-
85714,64,441,23242,-
85714,128,442,61904,-
88888,1,871,18746,-
88888,2,749,61946,-
88888,4,731,27410,-
88888,8,569,27409,-
88888,16,513,27410,-
88888,32,457,27402,-
88888,64,437,23241,-
88888,128,439,61902,-
92063,1,901,18746,-
92063,2,742,61946,-
92063,4,681,27410,-
92063,8,552,19162,-
92063,16,503,27410,-
92063,32,460,27402,-
92063,64,436,7948,-
92063,128,439,61902,-
95238,1,978,18745,-
95238,2,788,61945,-
95238,4,664,61944,-
95238,8,546,4043,-
95238,16,519,27409,-
95238,32,461,27402,-
95238,64,446,7950,-
95238,128,438,61901,-
98412,1,932,18745,-
98412,2,809,61945,-
98412,4,659,61944,-
98412,8,539,4043,-
98412,16,521,27409,-
98412,32,468,27402,-
98412,64,440,23239,-
98412,128,442,61901,-
101587,1,983,18744,-
101587,2,943,61944,-
101587,4,679,61943,-
101587,8,553,61947,-
101587,16,502,27410,-
101587,32,497,27402,-
101587,64,451,7949,-
101587,128,443,61900,-
104761,1,1000,18744,-
104761,2,958,61944,-
104761,4,680,61943,-
104761,8,559,61947,-
104761,16,504,27408,-
104761,32,491,27402,-
104761,64,452,7949,-
104761,128,447,61900,-
107936,1,996,18744,-
107936,2,972,61944,-
107936,4,695,61943,-
107936,8,557,61945,-
107936,16,493,27408,-
107936,32,489,27402,-
107936,64,441,23239,-
107936,128,447,61900,-
111111,1,1044,18743,-
111111,2,859,61943,-
111111,4,683,61943,-
111111,8,573,61945,-
111111,16,502,27409,-
111111,32,491,27401,-
111111,64,448,7948,-
111111,128,450,61900,-
114285,1,1044,18743,-
114285,2,859,61943,-
114285,4,683,61943,-
114285,8,573,61945,-
114285,16,502,27409,-
114285,32,491,27401,-
114285,64,448,7948,-
114285,128,450,61900,-
117460,1,1009,47489,-
117460,2,830,18743,-
117460,4,692,61942,-
117460,8,553,6285,-
117460,16,481,27409,-
117460,32,490,27401,-
117460,64,439,7947,-
117460,128,450,61899,-
120634,1,1009,47489,-
120634,2,830,18743,-
120634,4,692,61942,-
120634,8,553,6285,-
120634,16,481,27409,-
120634,32,490,27401,-
120634,64,439,7947,-
120634,128,450,61899,-
123809,1,909,47488,-
123809,2,773,61941,-
123809,4,696,61942,-
123809,8,547,61944,-
123809,16,489,27407,-
123809,32,464,27400,-
123809,64,437,7946,-
