dm,width,sigma_x100,t,verdict
93548,1,1073,6222,-
93548,2,791,64293,-
93548,4,730,64293,-
93548,8,670,57068,-
93548,16,521,57066,-
93548,32,447,42694,-
93548,64,355,13416,-
93548,128,444,13423,-
96774,1,879,25809,-
96774,2,723,64247,-
96774,4,539,13711,-
96774,8,544,13713,-
96774,16,460,36575,-
96774,32,441,5264,-
96774,64,407,13406,-
96774,128,367,36573,-
100000,1,1026,6222,-
100000,2,933,64200,-
100000,4,736,64201,-
100000,8,600,64201,-
100000,16,562,5211,-
100000,32,490,36586,-
100000,64,444,36573,-
100000,128,459,36546,-
