dm,width,sigma_x100,t,verdict
93548,1,919,19148,-
93548,2,783,19148,-
93548,4,576,19149,-
93548,8,560,26686,-
93548,16,500,26677,-
93548,32,473,64119,-
93548,64,397,15596,-
93548,128,363,50346,-
96774,1,917,1296,-
96774,2,836,30537,-
96774,4,901,30538,-
96774,8,632,30540,-
96774,16,514,15579,-
96774,32,501,15576,-
96774,64,414,17210,-
96774,128,369,30495,-
100000,1,895,64031,-
100000,2,735,64032,-
100000,4,634,30443,-
100000,8,511,23161,-
100000,16,511,59859,-
100000,32,546,30452,-
100000,64,427,30463,-
100000,128,409,25962,-
