dm,width,sigma_x100,t,verdict
93548,1,858,16340,-
93548,2,719,36508,-
93548,4,611,1093,-
93548,8,501,58945,-
93548,16,510,41670,-
93548,32,525,41677,-
93548,64,440,41690,-
93548,128,428,41708,-
96774,1,987,50058,-
96774,2,788,36508,-
96774,4,574,25459,-
96774,8,530,48984,-
96774,16,483,25738,-
96774,32,515,41674,-
96774,64,435,41679,-
96774,128,422,41702,-
100000,1,799,55468,-
100000,2,747,38924,-
100000,4,627,38924,-
100000,8,538,2156,-
100000,16,490,38429,-
100000,32,510,41663,-
100000,64,438,41681,-
100000,128,405,41698,-
