dm,width,sigma_x100,t,verdict
0,1,889,60724,-
0,2,777,46383,-
0,4,593,46384,-
0,8,570,19596,-
0,16,465,59610,-
0,32,514,8315,-
0,64,497,8307,-
0,128,472,8325,-
3225,1,854,59608,-
3225,2,773,46383,-
3225,4,638,46383,-
3225,8,548,29202,-
3225,16,506,8313,-
3225,32,524,8319,-
3225,64,492,8289,-
3225,128,482,8318,-
6451,1,906,4834,-
6451,2,860,46383,-
6451,4,622,46382,-
6451,8,588,46687,-
6451,16,552,8310,-
6451,32,499,8302,-
6451,64,512,8285,-
6451,128,505,8316,-
9677,1,987,28285,-
9677,2,851,28286,-
9677,4,659,28285,-
9677,8,577,8304,-
9677,16,504,8307,-
9677,32,511,8292,-
9677,64,514,8308,-
9677,128,516,8311,-
12903,1,903,977,-
12903,2,751,35712,-
12903,4,574,51851,-
12903,8,501,28282,-
12903,16,464,50511,-
12903,32,531,8289,-
12903,64,529,8304,-
12903,128,491,8315,-
16129,1,1159,8286,-
16129,2,785,8287,-
16129,4,590,8287,-
16129,8,602,8290,-
16129,16,525,50511,-
16129,32,526,8278,-
16129,64,503,8299,-
16129,128,492,8320,-
19354,1,1042,8280,-
19354,2,888,31055,-
19354,4,657,18103,-
19354,8,588,8284,-
19354,16,560,8284,-
19354,32,571,8276,-
19354,64,513,8288,-
19354,128,494,8315,-
22580,1,910,38676,-
22580,2,780,3502,-
22580,4,719,3503,-
22580,8,687,8277,-
22580,16,602,8281,-
22580,32,589,8271,-
22580,64,521,8286,-
22580,128,504,8312,-
25806,1,1032,18091,-
25806,2,785,46383,-
25806,4,683,46382,-
25806,8,664,4915,-
25806,16,591,8271,-
25806,32,541,8271,-
25806,64,493,8279,-
25806,128,504,8289,-
29032,1,864,9770,-
29032,2,754,19749,-
29032,4,628,22336,-
29032,8,540,8264,-
29032,16,517,8268,-
29032,32,538,8271,-
29032,64,493,8285,-
29032,128,509,8289,-
32258,1,1012,8253,-
32258,2,740,46383,-
32258,4,657,47557,-
32258,8,552,8257,-
32258,16,491,8261,-
32258,32,533,8267,-
32258,64,457,8285,-
32258,128,516,8287,-
35483,1,1096,60724,-
35483,2,846,46383,-
35483,4,738,46382,-
35483,8,594,45096,-
35483,16,504,35970,-
35483,32,490,8263,-
35483,64,451,8278,-
35483,128,534,8289,-
38709,1,949,18064,-
38709,2,715,35481,-
38709,4,695,34781,-
38709,8,632,34779,-
38709,16,548,34775,-
38709,32,483,8107,-
38709,64,462,19585,-
38709,128,526,8287,-
41935,1,1006,3462,-
41935,2,734,3462,-
41935,4,614,3463,-
41935,8,520,34773,-
41935,16,503,34775,-
41935,32,480,8103,-
41935,64,469,19585,-
41935,128,521,8274,-
45161,1,868,18051,-
45161,2,780,18580,-
45161,4,641,34768,-
45161,8,591,10230,-
45161,16,489,9772,-
45161,32,474,8100,-
45161,64,500,19578,-
45161,128,515,8273,-
48387,1,990,4748,-
48387,2,803,19267,-
48387,4,583,26542,-
48387,8,519,10228,-
48387,16,501,19603,-
48387,32,494,19595,-
48387,64,473,19575,-
48387,128,471,8272,-
51612,1,983,19261,-
51612,2,681,37448,-
51612,4,575,39479,-
51612,8,495,19602,-
51612,16,525,19598,-
51612,32,508,46397,-
51612,64,457,19574,-
51612,128,448,8277,-
54838,1,876,18031,-
54838,2,739,38588,-
54838,4,601,36622,-
54838,8,502,19598,-
54838,16,483,19595,-
54838,32,516,46392,-
54838,64,458,19578,-
54838,128,423,8271,-
58064,1,941,42358,-
58064,2,907,46383,-
58064,4,645,46383,-
58064,8,517,46380,-
58064,16,494,46390,-
58064,32,522,46392,-
58064,64,463,19578,-
58064,128,402,24497,-
61290,1,1032,4722,-
61290,2,870,46686,-
61290,4,642,50203,-
61290,8,539,50205,-
61290,16,545,46390,-
61290,32,509,46385,-
61290,64,463,19578,-
61290,128,413,24500,-
64516,1,875,33974,-
64516,2,919,46383,-
64516,4,722,46383,-
64516,8,582,46380,-
64516,16,521,46389,-
64516,32,509,46383,-
64516,64,449,19581,-
64516,128,435,24496,-
67741,1,1004,37936,-
67741,2,728,46383,-
67741,4,693,3410,-
67741,8,603,46380,-
67741,16,511,51343,-
67741,32,441,46378,-
67741,64,443,19581,-
67741,128,422,24492,-
70967,1,969,3402,-
70967,2,718,33100,-
70967,4,590,46382,-
70967,8,542,3406,-
70967,16,526,46376,-
70967,32,448,51346,-
70967,64,461,19578,-
70967,128,414,24487,-
74193,1,1039,4695,-
74193,2,748,19599,-
74193,4,681,61436,-
74193,8,525,369,-
74193,16,440,45089,-
74193,32,436,51336,-
