dm,width,sigma_x100,t,verdict
0,1,906,13762,-
0,2,755,13762,-
0,4,600,13763,-
0,8,536,58743,-
0,16,502,50825,-
0,32,439,50833,-
0,64,453,50849,-
0,128,457,50881,-
3225,1,893,13756,-
3225,2,731,13756,-
3225,4,579,49430,-
3225,8,505,27300,-
3225,16,464,49335,-
3225,32,432,46310,-
3225,64,449,50841,-
3225,128,445,50865,-
6451,1,921,19852,-
6451,2,762,18579,-
6451,4,593,49219,-
6451,8,533,62484,-
6451,16,444,21012,-
6451,32,429,50820,-
6451,64,440,46978,-
6451,128,453,50859,-
9677,1,948,13743,-
9677,2,762,24394,-
9677,4,779,28622,-
9677,8,657,21007,-
9677,16,509,21003,-
9677,32,450,20998,-
9677,64,409,62943,-
9677,128,464,50854,-
12903,1,853,13736,-
12903,2,678,59126,-
12903,4,597,59125,-
12903,8,608,21003,-
12903,16,564,21001,-
12903,32,472,20991,-
12903,64,421,58718,-
12903,128,474,50855,-
16129,1,1114,13729,-
16129,2,866,13729,-
16129,4,633,13730,-
16129,8,551,50901,-
16129,16,479,21000,-
16129,32,444,20994,-
16129,64,425,58718,-
16129,128,451,50848,-
19354,1,816,13723,-
19354,2,745,27776,-
19354,4,582,52528,-
19354,8,486,10002,-
19354,16,448,20991,-
19354,32,441,20991,-
19354,64,435,58716,-
19354,128,456,50841,-
22580,1,924,13716,-
22580,2,734,56454,-
22580,4,627,43692,-
22580,8,496,33493,-
22580,16,480,332,-
22580,32,441,50885,-
22580,64,420,62908,-
22580,128,438,50835,-
25806,1,1095,25049,-
25806,2,768,25050,-
25806,4,664,50880,-
25806,8,652,50880,-
25806,16,522,50875,-
25806,32,448,50882,-
25806,64,452,50852,-
25806,128,449,50820,-
29032,1,1036,13703,-
29032,2,843,13703,-
29032,4,661,19266,-
29032,8,549,19267,-
29032,16,522,50874,-
29032,32,470,53022,-
29032,64,430,50848,-
29032,128,457,50820,-
32258,1,940,13696,-
32258,2,776,13696,-
32258,4,589,50868,-
32258,8,564,50868,-
32258,16,493,50872,-
32258,32,442,62918,-
32258,64,426,50851,-
