dm,width,sigma_x100,t,verdict
0,1,1017,27823,-
0,2,715,27824,-
0,4,587,46451,-
0,8,534,9581,-
0,16,465,48704,-
0,32,460,742,-
0,64,491,756,-
0,128,411,4252,-
3225,1,816,31388,-
3225,2,715,6487,-
3225,4,619,64913,-
3225,8,615,64911,-
3225,16,488,12636,-
3225,32,445,39408,-
3225,64,485,756,-
3225,128,436,4249,-
6451,1,779,32342,-
6451,2,721,21171,-
6451,4,550,56542,-
6451,8,600,56118,-
6451,16,468,12634,-
6451,32,451,44270,-
6451,64,460,750,-
6451,128,441,4252,-
9677,1,888,29954,-
9677,2,672,6486,-
9677,4,580,62395,-
9677,8,529,11194,-
9677,16,485,7249,-
9677,32,463,6648,-
9677,64,469,746,-
9677,128,427,4252,-
12903,1,963,32342,-
12903,2,719,32343,-
12903,4,731,7893,-
12903,8,596,7891,-
12903,16,534,64917,-
12903,32,508,44264,-
12903,64,478,739,-
12903,128,425,4246,-
16129,1,847,27790,-
16129,2,779,750,-
16129,4,650,749,-
16129,8,554,747,-
16129,16,599,64915,-
16129,32,459,64924,-
16129,64,436,739,-
16129,128,410,4246,-
19354,1,817,32342,-
19354,2,670,30470,-
19354,4,704,36321,-
19354,8,676,57147,-
19354,16,631,64917,-
19354,32,459,64925,-
19354,64,405,739,-
19354,128,397,747,-
22580,1,836,45687,-
22580,2,610,46434,-
22580,4,631,27625,-
22580,8,688,64913,-
22580,16,627,64910,-
22580,32,430,57154,-
22580,64,388,723,-
22580,128,392,742,-
25806,1,886,43022,-
25806,2,720,2794,-
25806,4,636,64911,-
25806,8,542,64911,-
25806,16,488,64910,-
25806,32,430,11165,-
25806,64,380,64928,-
25806,128,377,736,-
29032,1,888,2120,-
29032,2,702,2121,-
29032,4,602,63823,-
29032,8,484,11154,-
29032,16,433,64915,-
29032,32,458,11164,-
29032,64,385,21739,-
29032,128,382,737,-
32258,1,855,41918,-
32258,2,682,61435,-
32258,4,572,40034,-
32258,8,577,27397,-
32258,16,465,64917,-
32258,32,487,11157,-
32258,64,394,739,-
32258,128,391,735,-
35483,1,814,41750,-
35483,2,713,61429,-
35483,4,552,41920,-
35483,8,561,15483,-
35483,16,608,64917,-
35483,32,541,11152,-
35483,64,372,21736,-
35483,128,377,724,-
38709,1,801,32342,-
38709,2,850,39299,-
38709,4,596,64913,-
38709,8,638,64911,-
38709,16,600,64915,-
38709,32,562,11148,-
38709,64,387,56024,-
38709,128,398,708,-
41935,1,978,15927,-
41935,2,783,2278,-
41935,4,577,63457,-
41935,8,557,64911,-
41935,16,547,64916,-
41935,32,511,11144,-
41935,64,417,56018,-
41935,128,374,706,-
45161,1,859,27393,-
45161,2,745,23148,-
45161,4,623,38959,-
45161,8,580,2064,-
45161,16,497,64915,-
45161,32,437,64924,-
45161,64,435,56011,-
45161,128,357,705,-
48387,1,993,38953,-
48387,2,739,32343,-
48387,4,617,20973,-
48387,8,589,2062,-
48387,16,526,64917,-
48387,32,452,16440,-
48387,64,435,56003,-
48387,128,361,63715,-
51612,1,837,47102,-
51612,2,726,32343,-
51612,4,595,29867,-
51612,8,596,20971,-
51612,16,561,64917,-
51612,32,487,16439,-
51612,64,437,56001,-
51612,128,378,63715,-
54838,1,865,6486,-
54838,2,659,61389,-
54838,4,534,64913,-
54838,8,633,64911,-
54838,16,544,64915,-
54838,32,463,16432,-
54838,64,425,56009,-
54838,128,375,63718,-
58064,1,809,49820,-
58064,2,631,38958,-
58064,4,552,18208,-
58064,8,487,56012,-
58064,16,467,64908,-
58064,32,479,56000,-
58064,64,419,56008,-
58064,128,407,63712,-
61290,1,746,38170,-
61290,2,667,15808,-
61290,4,534,49139,-
61290,8,605,56006,-
61290,16,530,56002,-
61290,32,530,56007,-
61290,64,420,56008,-
61290,128,398,63706,-
64516,1,891,59249,-
64516,2,680,36781,-
64516,4,593,20973,-
64516,8,606,55999,-
64516,16,592,55995,-
64516,32,552,56000,-
64516,64,432,56001,-
64516,128,397,63709,-
67741,1,896,32342,-
67741,2,654,45977,-
67741,4,527,742,-
67741,8,624,55993,-
67741,16,547,55992,-
67741,32,591,56000,-
67741,64,415,56000,-
67741,128,396,63705,-
70967,1,887,749,-
70967,2,697,9050,-
70967,4,574,751,-
70967,8,527,64846,-
70967,16,484,55995,-
70967,32,567,55989,-
70967,64,420,55996,-
70967,128,392,63703,-
74193,1,1244,21170,-
74193,2,1002,21171,-
74193,4,724,21170,-
74193,8,532,64912,-
74193,16,491,35101,-
74193,32,556,55987,-
74193,64,451,56000,-
74193,128,375,63678,-
77419,1,959,53656,-
77419,2,664,39461,-
77419,4,587,60356,-
77419,8,493,15003,-
77419,16,486,35101,-
77419,32,499,55980,-
77419,64,459,55996,-
77419,128,393,63674,-
80645,1,863,35650,-
80645,2,637,65263,-
80645,4,596,65264,-
80645,8,559,65265,-
80645,16,507,35100,-
80645,32,474,35092,-
80645,64,410,55990,-
80645,128,383,63673,-
83870,1,1216,32342,-
83870,2,859,32342,-
83870,4,635,32344,-
83870,8,553,65261,-
83870,16,511,35100,-
83870,32,438,35092,-
83870,64,410,55980,-
83870,128,394,63668,-
87096,1,868,6896,-
87096,2,685,2120,-
87096,4,576,2119,-
87096,8,524,38957,-
87096,16,469,64917,-
87096,32,408,19935,-
87096,64,417,55978,-
87096,128,393,63665,-
90322,1,825,60546,-
90322,2,658,2794,-
90322,4,552,21171,-
90322,8,552,64912,-
90322,16,456,57026,-
90322,32,396,19931,-
90322,64,408,55971,-
90322,128,383,63663,-
93548,1,928,6486,-
93548,2,666,55937,-
93548,4,635,41920,-
93548,8,532,2416,-
93548,16,460,57025,-
93548,32,390,39878,-
93548,64,415,44083,-
93548,128,385,63666,-
96774,1,812,6186,-
96774,2,646,6186,-
96774,4,570,27625,-
96774,8,489,39465,-
96774,16,441,57021,-
96774,32,389,42803,-
96774,64,427,44084,-
96774,128,400,63663,-
100000,1,1018,26878,-
100000,2,734,15808,-
100000,4,651,64910,-
100000,8,549,64911,-
100000,16,464,52791,-
100000,32,431,4234,-
100000,64,414,32365,-
100000,128,397,63656,-
