dm,width,sigma_x100,t,verdict
0,1,925,21345,-
0,2,872,21345,-
0,4,781,21346,-
0,8,594,21348,-
0,16,504,21352,-
0,32,393,21355,-
0,64,380,64570,-
0,128,402,2994,-
3225,1,863,26009,-
3225,2,713,21346,-
3225,4,565,21346,-
3225,8,461,51687,-
3225,16,445,62004,-
3225,32,397,21352,-
3225,64,372,17171,-
3225,128,401,2992,-
6451,1,821,44664,-
6451,2,710,62122,-
6451,4,543,44664,-
6451,8,518,62120,-
6451,16,450,12623,-
6451,32,413,62107,-
6451,64,394,17191,-
6451,128,396,2990,-
9677,1,805,61469,-
9677,2,728,15367,-
9677,4,566,35496,-
9677,8,524,21348,-
9677,16,429,519,-
9677,32,420,53204,-
9677,64,437,17190,-
9677,128,394,17159,-
12903,1,865,51705,-
12903,2,742,21346,-
12903,4,672,21345,-
12903,8,496,21346,-
12903,16,428,516,-
12903,32,413,12946,-
12903,64,449,17185,-
12903,128,397,17156,-
16129,1,939,24579,-
16129,2,756,4998,-
16129,4,657,55525,-
16129,8,527,4997,-
16129,16,450,514,-
16129,32,438,12948,-
16129,64,458,17175,-
16129,128,399,17146,-
19354,1,1168,24573,-
19354,2,940,24574,-
19354,4,689,55522,-
19354,8,577,55522,-
19354,16,458,18027,-
19354,32,445,12946,-
19354,64,484,17171,-
19354,128,402,17144,-
22580,1,974,44664,-
22580,2,803,22755,-
22580,4,656,22755,-
22580,8,532,24570,-
22580,16,449,17191,-
22580,32,461,17178,-
22580,64,470,17165,-
22580,128,412,17143,-
25806,1,866,14018,-
25806,2,667,14019,-
25806,4,736,17161,-
25806,8,538,17160,-
25806,16,462,24568,-
25806,32,515,17175,-
25806,64,463,17167,-
25806,128,409,17143,-
29032,1,960,44664,-
29032,2,715,44664,-
29032,4,584,36827,-
29032,8,629,17156,-
29032,16,441,44686,-
29032,32,492,17168,-
29032,64,450,17171,-
29032,128,421,62060,-
32258,1,924,51665,-
32258,2,765,51865,-
32258,4,769,4147,-
32258,8,521,62041,-
32258,16,464,17154,-
32258,32,484,17159,-
32258,64,437,17171,-
32258,128,407,17141,-
35483,1,873,44687,-
35483,2,686,21346,-
35483,4,613,62040,-
35483,8,576,18175,-
35483,16,494,15953,-
35483,32,469,17158,-
35483,64,439,17154,-
35483,128,403,62063,-
38709,1,839,17159,-
38709,2,737,17488,-
38709,4,569,55221,-
38709,8,505,37329,-
38709,16,462,17155,-
38709,32,467,44674,-
38709,64,432,17132,-
38709,128,419,62063,-
41935,1,895,4148,-
41935,2,814,41451,-
41935,4,580,55222,-
41935,8,523,4997,-
41935,16,509,37328,-
41935,32,465,17144,-
41935,64,430,17128,-
41935,128,445,62060,-
45161,1,837,63789,-
45161,2,694,9406,-
45161,4,576,9406,-
45161,8,567,62041,-
45161,16,497,37325,-
45161,32,431,17144,-
45161,64,440,17132,-
45161,128,435,62056,-
48387,1,797,12529,-
48387,2,775,21346,-
48387,4,590,55524,-
48387,8,492,21349,-
48387,16,521,21353,-
48387,32,445,17145,-
48387,64,443,17128,-
48387,128,407,62054,-
51612,1,900,30553,-
51612,2,824,38978,-
51612,4,620,38979,-
51612,8,564,38978,-
51612,16,445,21353,-
51612,32,419,53825,-
51612,64,444,17128,-
51612,128,407,62063,-
54838,1,858,17325,-
54838,2,804,41012,-
54838,4,677,12531,-
54838,8,606,38975,-
54838,16,480,39425,-
54838,32,461,53818,-
54838,64,428,17128,-
54838,128,414,62060,-
58064,1,944,12529,-
58064,2,708,12529,-
58064,4,644,21345,-
58064,8,590,12532,-
58064,16,504,38972,-
58064,32,388,41442,-
58064,64,402,41429,-
58064,128,406,62055,-
61290,1,926,41451,-
61290,2,743,15367,-
61290,4,633,41450,-
61290,8,554,41450,-
61290,16,528,41449,-
61290,32,405,17115,-
61290,64,433,41427,-
61290,128,385,62033,-
64516,1,813,44664,-
64516,2,887,15367,-
64516,4,670,15367,-
64516,8,532,15364,-
64516,16,585,41448,-
64516,32,420,41437,-
64516,64,446,41423,-
64516,128,387,62064,-
67741,1,956,44664,-
67741,2,727,54070,-
67741,4,612,54071,-
67741,8,534,54070,-
67741,16,512,41445,-
67741,32,442,10324,-
67741,64,442,41422,-
67741,128,401,62059,-
70967,1,897,57229,-
70967,2,727,6584,-
70967,4,666,31750,-
70967,8,579,31752,-
70967,16,529,31756,-
70967,32,420,10322,-
70967,64,419,41422,-
70967,128,397,62053,-
74193,1,1023,29107,-
74193,2,824,4034,-
74193,4,676,4035,-
74193,8,500,4997,-
74193,16,480,29100,-
74193,32,419,10323,-
74193,64,403,41425,-
74193,128,407,62042,-
77419,1,924,46593,-
77419,2,803,46594,-
77419,4,607,4996,-
77419,8,517,10312,-
77419,16,506,10317,-
77419,32,418,21354,-
77419,64,368,9586,-
77419,128,409,62038,-
80645,1,856,57944,-
80645,2,777,21346,-
80645,4,653,21346,-
80645,8,507,21346,-
80645,16,493,15959,-
80645,32,418,26416,-
80645,64,395,64570,-
80645,128,417,62032,-
83870,1,889,5878,-
83870,2,714,3931,-
83870,4,549,21345,-
83870,8,522,30557,-
83870,16,520,15953,-
83870,32,432,29079,-
83870,64,401,13197,-
83870,128,428,15650,-
87096,1,877,4033,-
87096,2,797,40731,-
87096,4,601,40730,-
87096,8,488,26412,-
87096,16,457,40731,-
87096,32,423,29079,-
87096,64,428,13190,-
87096,128,443,62019,-
90322,1,841,26408,-
90322,2,726,46006,-
90322,4,628,55374,-
90322,8,551,40728,-
90322,16,494,41802,-
90322,32,436,53039,-
90322,64,442,13182,-
90322,128,435,15652,-
93548,1,836,3037,-
93548,2,697,55465,-
93548,4,546,46562,-
93548,8,550,39350,-
93548,16,470,26406,-
93548,32,452,54785,-
93548,64,467,13181,-
93548,128,444,62017,-
96774,1,863,44664,-
96774,2,693,21346,-
96774,4,607,5243,-
96774,8,476,5245,-
96774,16,480,18181,-
96774,32,428,14714,-
96774,64,497,13177,-
96774,128,440,15652,-
100000,1,816,44664,-
100000,2,779,40731,-
100000,4,567,40730,-
100000,8,504,53031,-
100000,16,456,9564,-
100000,32,427,29158,-
100000,64,445,13173,-
100000,128,433,15651,-
