dm,width,sigma_x100,t,verdict
0,1,1013,42520,-
0,2,663,11332,-
0,4,607,61480,-
0,8,590,22898,-
0,16,506,8657,-
0,32,490,31043,-
0,64,429,27943,-
0,128,393,25235,-
3225,1,881,42520,-
3225,2,732,31595,-
3225,4,659,30970,-
3225,8,563,30968,-
3225,16,467,54099,-
3225,32,441,31043,-
3225,64,399,27953,-
3225,128,407,25232,-
6451,1,1106,42520,-
6451,2,839,28696,-
6451,4,536,28697,-
6451,8,523,62524,-
6451,16,504,54099,-
6451,32,434,31040,-
6451,64,401,27948,-
6451,128,403,25229,-
9677,1,1076,42520,-
9677,2,744,54628,-
9677,4,620,49920,-
9677,8,559,41255,-
9677,16,540,37119,-
9677,32,436,16708,-
9677,64,399,27944,-
9677,128,403,25239,-
12903,1,1008,42520,-
12903,2,752,54332,-
12903,4,660,41251,-
12903,8,625,41253,-
12903,16,526,41249,-
12903,32,431,21366,-
12903,64,398,27945,-
12903,128,411,25224,-
16129,1,1287,42520,-
16129,2,975,42520,-
16129,4,678,42521,-
16129,8,560,8660,-
16129,16,498,41246,-
16129,32,432,49921,-
16129,64,416,27944,-
16129,128,423,25219,-
19354,1,1097,42520,-
19354,2,912,42520,-
19354,4,746,2199,-
19354,8,531,2198,-
19354,16,475,52043,-
19354,32,420,49920,-
19354,64,420,25250,-
19354,128,444,25218,-
22580,1,1056,42520,-
22580,2,733,42521,-
22580,4,639,54105,-
22580,8,563,45705,-
22580,16,456,25367,-
22580,32,441,36649,-
22580,64,384,36659,-
22580,128,413,25212,-
25806,1,958,42520,-
25806,2,705,42521,-
25806,4,541,53560,-
25806,8,469,25362,-
25806,16,496,25360,-
25806,32,428,36649,-
25806,64,392,49240,-
25806,128,410,25205,-
29032,1,1154,42520,-
29032,2,832,14762,-
29032,4,686,14762,-
29032,8,523,8292,-
29032,16,528,48181,-
29032,32,437,45221,-
29032,64,396,49237,-
29032,128,401,27913,-
32258,1,1086,42520,-
32258,2,730,42521,-
32258,4,595,9037,-
32258,8,534,25350,-
32258,16,490,48179,-
32258,32,441,2391,-
32258,64,402,22474,-
32258,128,405,27912,-
35483,1,1082,42520,-
35483,2,753,48184,-
35483,4,613,30903,-
35483,8,525,54521,-
35483,16,493,48177,-
35483,32,458,22461,-
35483,64,375,22460,-
35483,128,403,27911,-
38709,1,981,42520,-
38709,2,828,11252,-
38709,4,634,30970,-
38709,8,639,30968,-
38709,16,481,30965,-
38709,32,420,41713,-
38709,64,395,22460,-
38709,128,368,31005,-
41935,1,1152,42520,-
41935,2,917,42521,-
41935,4,648,42522,-
41935,8,570,9670,-
41935,16,469,30965,-
41935,32,426,62422,-
41935,64,381,62420,-
41935,128,361,30998,-
45161,1,1353,42520,-
45161,2,997,42520,-
45161,4,686,27973,-
45161,8,532,42517,-
45161,16,437,13644,-
45161,32,413,62419,-
45161,64,375,22444,-
45161,128,392,27912,-
48387,1,992,42520,-
48387,2,664,42520,-
