dm,width,sigma_x100,t,verdict
0,1,1024,21623,-
0,2,690,63333,-
0,4,684,11474,-
0,8,654,13410,-
0,16,534,13412,-
0,32,466,31289,-
0,64,413,13437,-
0,128,434,21652,-
3225,1,874,13823,-
3225,2,769,13407,-
3225,4,676,13406,-
3225,8,645,13410,-
3225,16,495,13412,-
3225,32,441,13420,-
3225,64,432,12161,-
3225,128,434,21645,-
6451,1,855,11681,-
6451,2,672,33200,-
6451,4,540,15802,-
6451,8,521,11678,-
6451,16,509,31284,-
6451,32,444,12146,-
6451,64,404,31263,-
6451,128,435,21640,-
9677,1,924,41153,-
9677,2,715,50036,-
9677,4,559,41152,-
9677,8,526,14298,-
9677,16,469,41151,-
9677,32,446,31288,-
9677,64,433,12159,-
9677,128,453,21644,-
12903,1,833,1455,-
12903,2,946,30357,-
12903,4,613,30356,-
12903,8,529,57319,-
12903,16,490,14293,-
12903,32,394,31282,-
12903,64,401,12161,-
12903,128,447,21637,-
16129,1,864,2296,-
16129,2,703,60276,-
16129,4,582,4213,-
16129,8,496,14282,-
16129,16,474,36168,-
16129,32,419,41145,-
16129,64,401,21668,-
16129,128,427,21652,-
19354,1,999,63293,-
19354,2,741,12838,-
19354,4,611,12837,-
19354,8,534,12839,-
19354,16,463,36164,-
19354,32,402,33262,-
19354,64,392,21668,-
19354,128,432,21641,-
22580,1,833,26284,-
22580,2,667,14420,-
22580,4,552,24506,-
22580,8,529,2281,-
22580,16,475,24502,-
22580,32,426,33255,-
22580,64,407,14254,-
22580,128,416,21639,-
25806,1,850,49508,-
25806,2,696,53206,-
25806,4,530,13414,-
25806,8,519,24502,-
25806,16,459,11358,-
25806,32,443,21639,-
25806,64,431,35567,-
25806,128,413,21644,-
29032,1,720,63273,-
29032,2,782,52544,-
29032,4,547,52543,-
29032,8,481,30360,-
29032,16,544,14253,-
29032,32,457,14258,-
29032,64,437,35566,-
29032,128,408,21619,-
32258,1,915,50537,-
32258,2,786,30357,-
32258,4,659,41665,-
32258,8,536,13734,-
32258,16,581,14253,-
32258,32,488,14251,-
32258,64,455,35557,-
32258,128,409,21644,-
35483,1,924,2746,-
35483,2,700,26259,-
35483,4,601,13731,-
35483,8,519,62473,-
35483,16,568,14249,-
35483,32,542,14244,-
35483,64,423,35552,-
35483,128,429,21642,-
38709,1,812,26251,-
38709,2,752,30357,-
38709,4,645,25469,-
38709,8,558,30360,-
38709,16,513,14247,-
38709,32,548,14242,-
38709,64,417,35552,-
38709,128,440,21642,-
41935,1,841,39952,-
41935,2,705,30357,-
41935,4,621,3837,-
41935,8,557,30357,-
41935,16,476,14234,-
41935,32,572,14241,-
41935,64,385,21613,-
41935,128,433,21636,-
45161,1,978,63240,-
45161,2,743,30357,-
45161,4,578,11473,-
45161,8,541,11475,-
45161,16,467,19693,-
45161,32,516,14235,-
45161,64,395,21608,-
45161,128,412,21640,-
48387,1,822,37096,-
48387,2,787,13731,-
48387,4,521,36105,-
48387,8,536,43825,-
