dm,width,sigma_x100,t,verdict
0,1,846,30264,-
0,2,686,42866,-
0,4,624,30263,-
0,8,525,29028,-
0,16,658,25876,-
0,32,600,25872,-
0,64,471,25874,-
0,128,534,25907,-
3225,1,855,8703,-
3225,2,738,31302,-
3225,4,591,25808,-
3225,8,552,47475,-
3225,16,680,25874,-
3225,32,585,25866,-
3225,64,440,25878,-
3225,128,503,25910,-
6451,1,971,798,-
6451,2,824,799,-
6451,4,551,800,-
6451,8,575,25870,-
6451,16,540,25869,-
6451,32,578,25861,-
6451,64,449,62788,-
6451,128,514,25903,-
9677,1,849,7656,-
9677,2,723,37146,-
9677,4,610,25795,-
9677,8,559,25867,-
9677,16,499,25862,-
9677,32,519,25856,-
9677,64,446,62781,-
9677,128,487,25905,-
12903,1,858,50903,-
12903,2,865,42840,-
12903,4,655,31283,-
12903,8,610,31282,-
12903,16,482,25853,-
12903,32,500,31293,-
12903,64,426,62775,-
12903,128,488,25904,-
16129,1,884,7536,-
16129,2,667,34660,-
16129,4,583,46840,-
16129,8,521,31277,-
16129,16,487,41255,-
16129,32,475,31287,-
16129,64,419,50550,-
16129,128,469,25903,-
19354,1,835,61217,-
19354,2,722,9213,-
19354,4,561,25845,-
19354,8,637,25847,-
19354,16,479,25843,-
19354,32,448,25835,-
19354,64,435,50538,-
19354,128,443,25904,-
22580,1,846,765,-
22580,2,718,766,-
22580,4,581,767,-
22580,8,544,25770,-
22580,16,475,31301,-
22580,32,401,31293,-
22580,64,459,50535,-
22580,128,414,25899,-
25806,1,938,21669,-
25806,2,708,21669,-
25806,4,657,48535,-
25806,8,494,47587,-
25806,16,456,17886,-
25806,32,403,17889,-
25806,64,464,50529,-
25806,128,401,25820,-
29032,1,829,21669,-
29032,2,696,753,-
29032,4,562,25756,-
29032,8,608,35867,-
29032,16,486,36893,-
29032,32,409,50540,-
29032,64,460,50526,-
29032,128,404,25848,-
32258,1,814,48521,-
32258,2,759,34660,-
32258,4,594,35862,-
32258,8,560,25751,-
32258,16,459,64936,-
32258,32,428,50534,-
32258,64,436,50533,-
32258,128,400,25811,-
35483,1,946,16324,-
35483,2,732,21669,-
35483,4,598,21668,-
35483,8,514,55852,-
35483,16,479,25747,-
35483,32,482,50527,-
35483,64,426,25771,-
35483,128,391,41928,-
38709,1,880,16772,-
38709,2,784,16772,-
38709,4,558,16773,-
38709,8,509,60074,-
38709,16,504,60070,-
38709,32,513,50520,-
38709,64,441,25766,-
38709,128,412,25826,-
41935,1,849,33746,-
41935,2,630,22075,-
41935,4,608,22076,-
41935,8,544,31474,-
41935,16,490,60069,-
41935,32,510,50521,-
41935,64,449,25760,-
41935,128,402,25821,-
45161,1,922,38259,-
45161,2,766,48496,-
45161,4,625,39537,-
45161,8,566,50519,-
45161,16,567,50514,-
45161,32,492,50522,-
45161,64,414,25752,-
45161,128,407,25800,-
48387,1,962,26142,-
48387,2,842,48489,-
48387,4,652,48490,-
48387,8,586,417,-
48387,16,512,50508,-
48387,32,496,50516,-
48387,64,433,47090,-
48387,128,420,25797,-
51612,1,865,26577,-
51612,2,717,25739,-
51612,4,637,188,-
51612,8,525,31305,-
51612,16,486,50511,-
51612,32,485,25754,-
51612,64,450,25762,-
51612,128,422,25792,-
54838,1,788,54382,-
54838,2,744,31301,-
54838,4,708,31301,-
54838,8,593,31303,-
54838,16,504,19953,-
54838,32,511,25747,-
54838,64,449,25731,-
54838,128,426,25794,-
58064,1,847,5628,-
58064,2,730,3004,-
58064,4,574,5630,-
58064,8,541,53315,-
58064,16,523,25756,-
58064,32,539,25754,-
58064,64,439,25756,-
58064,128,435,25788,-
61290,1,810,47478,-
61290,2,727,33978,-
61290,4,526,47477,-
61290,8,476,3001,-
61290,16,525,25755,-
61290,32,555,25744,-
61290,64,423,25731,-
61290,128,414,25781,-
64516,1,873,47478,-
64516,2,700,9213,-
64516,4,625,47505,-
64516,8,511,25739,-
64516,16,541,25747,-
64516,32,555,25740,-
64516,64,430,25731,-
64516,128,394,25775,-
67741,1,859,30078,-
67741,2,736,2757,-
67741,4,689,22076,-
67741,8,550,32903,-
67741,16,537,25742,-
67741,32,519,25745,-
67741,64,452,25731,-
67741,128,392,25768,-
70967,1,812,59517,-
70967,2,745,59135,-
70967,4,659,32900,-
70967,8,657,32899,-
70967,16,518,25735,-
70967,32,482,25739,-
