dm,width,sigma_x100,t,verdict
0,1,1070,36151,-
0,2,749,36152,-
0,4,648,31740,-
0,8,575,31742,-
0,16,519,46264,-
0,32,424,46267,-
0,64,396,64603,-
0,128,389,4443,-
3225,1,1080,36151,-
3225,2,730,11914,-
3225,4,732,25939,-
3225,8,539,31734,-
3225,16,559,46259,-
3225,32,421,64592,-
3225,64,392,64598,-
3225,128,386,4437,-
6451,1,897,36151,-
6451,2,701,8589,-
6451,4,638,22014,-
6451,8,522,8588,-
6451,16,525,46257,-
6451,32,449,31739,-
6451,64,391,64597,-
6451,128,382,4432,-
9677,1,978,36151,-
9677,2,717,44195,-
9677,4,724,3290,-
9677,8,588,3288,-
9677,16,494,29518,-
9677,32,418,44536,-
9677,64,396,64582,-
9677,128,387,4424,-
12903,1,1126,29518,-
12903,2,966,29518,-
12903,4,613,29519,-
12903,8,558,3285,-
12903,16,507,2960,-
12903,32,428,2950,-
12903,64,412,64582,-
12903,128,385,4444,-
16129,1,1026,36151,-
16129,2,762,36151,-
16129,4,558,35192,-
16129,8,533,64596,-
16129,16,527,2953,-
16129,32,393,44523,-
16129,64,427,64581,-
16129,128,413,4443,-
19354,1,915,36151,-
19354,2,798,29505,-
19354,4,585,51513,-
19354,8,516,10113,-
19354,16,471,2947,-
19354,32,405,2946,-
19354,64,408,58881,-
19354,128,381,4437,-
22580,1,955,36151,-
22580,2,953,29498,-
22580,4,646,29499,-
22580,8,592,801,-
22580,16,474,39514,-
22580,32,395,39516,-
22580,64,417,64579,-
22580,128,362,4426,-
25806,1,1101,36151,-
25806,2,721,36152,-
25806,4,596,28414,-
25806,8,559,20353,-
25806,16,510,31661,-
25806,32,431,19624,-
25806,64,409,21233,-
25806,128,368,4444,-
29032,1,1128,36151,-
29032,2,790,184,-
29032,4,680,183,-
29032,8,532,31657,-
29032,16,523,19617,-
29032,32,448,21214,-
29032,64,393,21231,-
29032,128,376,45705,-
32258,1,1058,36151,-
32258,2,817,29478,-
32258,4,603,62312,-
32258,8,631,19615,-
32258,16,544,19613,-
32258,32,436,19623,-
32258,64,392,45672,-
32258,128,392,45704,-
35483,1,1040,36151,-
35483,2,845,41037,-
35483,4,682,34576,-
35483,8,544,55365,-
35483,16,545,42217,-
35483,32,478,19620,-
35483,64,389,44181,-
35483,128,408,45705,-
38709,1,926,36151,-
38709,2,853,36152,-
38709,4,600,182,-
38709,8,534,16202,-
38709,16,485,44202,-
38709,32,504,19618,-
38709,64,413,44178,-
38709,128,415,45698,-
41935,1,1039,36151,-
41935,2,737,63424,-
41935,4,789,31655,-
41935,8,667,31655,-
41935,16,521,29455,-
41935,32,493,17080,-
41935,64,404,44175,-
41935,128,435,45693,-
45161,1,952,36151,-
45161,2,678,34576,-
45161,4,605,31648,-
45161,8,506,30206,-
45161,16,485,44195,-
45161,32,473,19605,-
45161,64,393,31651,-
45161,128,397,45685,-
48387,1,1025,34575,-
48387,2,902,29445,-
48387,4,649,34577,-
48387,8,493,44198,-
48387,16,469,17073,-
48387,32,460,65457,-
48387,64,389,664,-
48387,128,403,45693,-
51612,1,1013,36151,-
51612,2,739,685,-
51612,4,698,684,-
51612,8,514,65459,-
51612,16,536,65455,-
51612,32,489,65457,-
51612,64,400,65441,-
51612,128,389,45685,-
54838,1,1056,31629,-
54838,2,895,36152,-
54838,4,641,31654,-
54838,8,569,31655,-
54838,16,527,65457,-
54838,32,538,65451,-
54838,64,425,65435,-
54838,128,382,45686,-
58064,1,936,36151,-
58064,2,796,2953,-
58064,4,621,7883,-
58064,8,530,25867,-
58064,16,519,65455,-
58064,32,507,65451,-
58064,64,421,65435,-
58064,128,367,45686,-
61290,1,907,36151,-
61290,2,771,638,-
61290,4,572,63667,-
61290,8,556,64789,-
61290,16,474,65454,-
61290,32,507,65451,-
61290,64,408,65435,-
61290,128,365,45686,-
64516,1,965,36151,-
64516,2,710,11914,-
64516,4,535,185,-
64516,8,566,34578,-
64516,16,475,16907,-
64516,32,469,65445,-
64516,64,399,65435,-
64516,128,389,29177,-
67741,1,987,36151,-
67741,2,811,34575,-
67741,4,698,16899,-
67741,8,665,34574,-
67741,16,539,34576,-
67741,32,430,16912,-
67741,64,361,45652,-
67741,128,403,29173,-
70967,1,1088,37913,-
70967,2,789,37914,-
70967,4,605,182,-
70967,8,566,8717,-
70967,16,588,34569,-
70967,32,442,58586,-
70967,64,348,65436,-
70967,128,417,45700,-
74193,1,981,36151,-
74193,2,684,11914,-
74193,4,580,8713,-
74193,8,490,34572,-
74193,16,513,34568,-
74193,32,380,58586,-
74193,64,348,44174,-
74193,128,420,45695,-
77419,1,1402,36151,SHOT
77419,2,980,36151,-
77419,4,608,36151,-
77419,8,485,60549,-
77419,16,440,43433,-
77419,32,378,58865,-
77419,64,366,45651,-
77419,128,407,45684,-
80645,1,1063,36151,-
80645,2,760,36152,-
80645,4,555,58851,-
80645,8,471,35648,-
80645,16,406,57433,-
80645,32,373,58862,-
80645,64,357,29141,-
80645,128,423,45682,-
83870,1,1023,36151,-
83870,2,749,36152,-
83870,4,598,10897,-
83870,8,486,35647,-
83870,16,425,5196,-
83870,32,384,43434,-
83870,64,358,29158,-
83870,128,404,45677,-
87096,1,1061,36151,-
87096,2,859,36151,-
87096,4,670,36152,-
87096,8,502,36155,-
87096,16,420,36154,-
87096,32,417,62859,-
87096,64,396,29166,-
87096,128,402,45670,-
90322,1,1091,36151,-
90322,2,826,184,-
90322,4,571,32858,-
90322,8,522,43868,-
90322,16,459,29149,-
