dm,width,sigma_x100,t,verdict
0,1,999,49184,-
0,2,926,42839,-
0,4,714,39184,-
0,8,555,43928,-
0,16,500,39279,-
0,32,412,43928,-
0,64,385,65183,-
0,128,351,46044,-
3225,1,866,7540,-
3225,2,689,45663,-
3225,4,715,43476,-
3225,8,503,19619,-
3225,16,500,36127,-
3225,32,428,19193,-
3225,64,372,65177,-
3225,128,352,46039,-
6451,1,881,43912,-
6451,2,735,55679,-
6451,4,630,48488,-
6451,8,553,19616,-
6451,16,472,55672,-
6451,32,461,19189,-
6451,64,377,65180,-
6451,128,368,19670,-
9677,1,858,15754,-
9677,2,730,48483,-
9677,4,700,48483,-
9677,8,623,48484,-
9677,16,567,30260,-
9677,32,457,30268,-
9677,64,412,65172,-
9677,128,360,19664,-
12903,1,1029,45643,-
12903,2,794,45643,-
12903,4,630,45644,-
12903,8,725,30258,-
12903,16,551,30260,-
12903,32,478,30266,-
12903,64,387,34759,-
12903,128,364,46016,-
16129,1,740,48468,-
16129,2,740,45637,-
16129,4,689,43790,-
16129,8,580,655,-
16129,16,575,30256,-
16129,32,490,19186,-
16129,64,394,65173,-
16129,128,371,46012,-
19354,1,956,24107,-
19354,2,757,48463,-
19354,4,731,39247,-
19354,8,537,63094,-
19354,16,469,19183,-
19354,32,493,19186,-
19354,64,382,31581,-
19354,128,373,46023,-
22580,1,954,15727,-
22580,2,719,36129,-
22580,4,649,63091,-
22580,8,542,63089,-
22580,16,447,14397,-
22580,32,469,19185,-
22580,64,392,17788,-
22580,128,378,46022,-
25806,1,895,15721,-
25806,2,665,15722,-
25806,4,579,22314,-
25806,8,508,12722,-
25806,16,447,10963,-
25806,32,529,19185,-
25806,64,398,19201,-
25806,128,376,46016,-
29032,1,874,45610,-
29032,2,839,3289,-
29032,4,607,63076,-
29032,8,502,12717,-
29032,16,424,48541,-
29032,32,486,19183,-
29032,64,398,31586,-
29032,128,366,46018,-
32258,1,917,64100,-
32258,2,778,3289,-
32258,4,570,2516,-
32258,8,506,12980,-
32258,16,413,7595,-
32258,32,474,31569,-
32258,64,391,19193,-
32258,128,371,46018,-
35483,1,852,40635,-
35483,2,745,14192,-
35483,4,616,48430,-
35483,8,512,12979,-
35483,16,448,7591,-
35483,32,441,59310,-
35483,64,391,31567,-
35483,128,373,45990,-
38709,1,1107,34731,-
38709,2,774,918,-
38709,4,696,39273,-
38709,8,638,7590,-
38709,16,536,7593,-
38709,32,461,31559,-
38709,64,391,31586,-
38709,128,362,45993,-
41935,1,819,48534,-
41935,2,743,48535,-
41935,4,641,61721,-
41935,8,500,19196,-
41935,16,554,7587,-
41935,32,439,31554,-
41935,64,383,19174,-
41935,128,361,45985,-
45161,1,890,15681,-
45161,2,669,30481,-
45161,4,659,38152,-
45161,8,599,19195,-
45161,16,566,19191,-
45161,32,463,19185,-
45161,64,414,19169,-
45161,128,352,45992,-
48387,1,1514,45570,SHOT
48387,2,1023,45571,-
48387,4,740,45570,-
48387,8,538,45571,-
48387,16,583,19192,-
48387,32,516,19184,-
48387,64,446,19167,-
48387,128,351,45973,-
51612,1,847,15668,-
51612,2,637,48397,-
51612,4,546,48396,-
51612,8,554,22261,-
51612,16,527,19187,-
51612,32,515,19191,-
51612,64,407,19167,-
51612,128,340,45967,-
54838,1,871,40595,-
54838,2,793,39183,-
54838,4,594,42972,-
54838,8,560,45558,-
54838,16,524,45563,-
54838,32,509,19187,-
54838,64,425,19170,-
54838,128,354,45992,-
58064,1,988,46378,-
58064,2,650,46378,-
58064,4,584,43806,-
58064,8,523,30351,-
58064,16,459,47205,-
58064,32,448,19183,-
58064,64,400,19167,-
58064,128,346,45990,-
61290,1,975,40582,-
61290,2,783,40582,-
61290,4,645,40583,-
61290,8,607,30346,-
61290,16,517,27739,-
61290,32,435,19183,-
61290,64,401,19167,-
61290,128,336,41395,-
64516,1,805,45537,-
64516,2,696,42249,-
64516,4,585,47198,-
64516,8,578,27736,-
64516,16,513,27735,-
64516,32,394,47197,-
64516,64,374,19168,-
64516,128,332,31618,-
67741,1,978,45531,-
67741,2,688,8342,-
67741,4,595,27733,-
67741,8,609,27731,-
67741,16,481,27729,-
67741,32,431,47189,-
67741,64,361,19167,-
67741,128,352,31614,-
70967,1,951,40562,-
70967,2,879,40562,-
70967,4,673,40561,-
70967,8,604,40560,-
70967,16,468,12626,-
70967,32,411,47187,-
70967,64,367,19167,-
70967,128,330,31604,-
74193,1,894,40555,-
74193,2,861,40556,-
74193,4,665,40557,-
74193,8,640,12623,-
74193,16,508,12619,-
74193,32,403,19183,-
74193,64,344,19167,-
74193,128,344,31602,-
77419,1,768,24107,-
77419,2,712,21023,-
77419,4,626,49736,-
77419,8,595,654,-
77419,16,466,652,-
77419,32,387,19187,-
77419,64,359,43636,-
77419,128,349,31597,-
80645,1,942,40542,-
80645,2,699,40543,-
80645,4,603,22917,-
80645,8,504,654,-
80645,16,508,650,-
80645,32,384,19183,-
80645,64,360,43626,-
80645,128,349,31597,-
83870,1,844,14192,-
83870,2,805,14192,-
83870,4,696,14193,-
83870,8,538,14191,-
83870,16,432,647,-
83870,32,401,19186,-
83870,64,404,43625,-
83870,128,333,42267,-
87096,1,963,45491,-
87096,2,736,45492,-
87096,4,628,43169,-
87096,8,537,413,-
87096,16,459,43165,-
87096,32,423,19183,-
87096,64,403,43621,-
87096,128,335,56613,-
90322,1,831,40522,-
90322,2,755,37721,-
90322,4,577,40523,-
90322,8,510,62729,-
90322,16,433,810,-
90322,32,398,43631,-
90322,64,375,43615,-
90322,128,346,56611,-
93548,1,978,16882,-
93548,2,704,16883,-
93548,4,563,653,-
93548,8,506,45641,-
93548,16,423,48316,-
93548,32,400,42291,-
93548,64,365,43625,-
93548,128,332,56618,-
96774,1,866,40509,-
96774,2,718,3289,-
96774,4,565,3288,-
96774,8,539,43621,-
96774,16,450,43622,-
96774,32,441,42288,-
96774,64,385,43615,-
96774,128,351,56610,-
100000,1,801,12626,-
100000,2,672,48296,-
100000,4,709,43619,-
100000,8,611,43619,-
100000,16,491,48304,-
100000,32,434,43629,-
100000,64,394,43612,-
100000,128,347,30318,-
