dm,width,sigma_x100,t,verdict
0,1,889,50171,-
0,2,660,5427,-
0,4,593,5548,-
0,8,565,5547,-
0,16,446,16116,-
0,32,372,54298,-
0,64,381,22851,-
0,128,331,22884,-
3225,1,1026,5427,-
3225,2,830,27569,-
3225,4,628,27569,-
3225,8,518,30656,-
3225,16,516,5549,-
3225,32,439,54293,-
3225,64,375,45715,-
3225,128,338,22871,-
6451,1,818,27536,-
6451,2,751,51710,-
6451,4,754,52680,-
6451,8,589,5547,-
6451,16,463,50720,-
6451,32,490,54287,-
6451,64,376,45709,-
6451,128,331,22853,-
9677,1,943,5427,-
9677,2,771,20896,-
9677,4,662,20897,-
9677,8,629,63247,-
9677,16,541,50716,-
9677,32,518,54282,-
9677,64,374,54267,-
9677,128,337,22858,-
12903,1,800,5427,-
12903,2,690,50713,-
12903,4,600,318,-
12903,8,617,50711,-
12903,16,512,50712,-
12903,32,506,54276,-
12903,64,374,54260,-
12903,128,322,22841,-
16129,1,1002,5427,-
16129,2,711,5428,-
16129,4,612,5429,-
16129,8,526,27766,-
16129,16,470,50708,-
16129,32,480,54271,-
16129,64,393,54273,-
16129,128,342,22797,-
19354,1,1250,27536,-
19354,2,790,27537,-
19354,4,690,10937,-
19354,8,539,10936,-
19354,16,473,54250,-
19354,32,479,54264,-
19354,64,393,54266,-
19354,128,349,22796,-
22580,1,927,6735,-
22580,2,727,40362,-
22580,4,588,27570,-
22580,8,566,48393,-
22580,16,522,54248,-
22580,32,509,54258,-
22580,64,403,54260,-
22580,128,361,22790,-
25806,1,956,55574,-
25806,2,702,54243,-
25806,4,639,54242,-
25806,8,573,54242,-
25806,16,524,54245,-
25806,32,492,54253,-
25806,64,388,54260,-
25806,128,390,22794,-
29032,1,1096,19658,-
29032,2,768,19658,-
29032,4,591,50712,-
29032,8,495,13588,-
29032,16,480,54241,-
29032,32,497,54245,-
29032,64,404,54256,-
29032,128,374,22787,-
32258,1,1018,53860,-
32258,2,726,11326,-
32258,4,546,53859,-
32258,8,543,49110,-
32258,16,491,13584,-
32258,32,517,54239,-
32258,64,377,54255,-
32258,128,380,22795,-
35483,1,842,5427,-
35483,2,693,6622,-
35483,4,683,27569,-
35483,8,558,62371,-
35483,16,512,25315,-
35483,32,472,54236,-
35483,64,371,48395,-
35483,128,402,22794,-
38709,1,846,5427,-
38709,2,731,27569,-
38709,4,742,27569,-
38709,8,632,27570,-
38709,16,548,25314,-
38709,32,429,27560,-
38709,64,384,22761,-
38709,128,378,22790,-
41935,1,950,6696,-
41935,2,746,6696,-
41935,4,600,25175,-
41935,8,646,25310,-
41935,16,472,25314,-
41935,32,445,27561,-
41935,64,379,53831,-
41935,128,369,22780,-
45161,1,930,6621,-
45161,2,727,40001,-
