dm,width,sigma_x100,t,verdict
0,1,989,35916,-
0,2,840,10361,-
0,4,715,2189,-
0,8,595,2189,-
0,16,473,46881,-
0,32,404,47662,-
0,64,420,60345,-
0,128,371,62637,-
3225,1,931,48209,-
3225,2,745,35916,-
3225,4,617,11304,-
3225,8,485,3280,-
3225,16,459,46876,-
3225,32,447,27837,-
3225,64,407,60345,-
3225,128,379,62599,-
6451,1,946,16625,-
6451,2,710,16625,-
6451,4,597,58878,-
6451,8,492,19136,-
6451,16,448,46630,-
6451,32,390,2441,-
6451,64,368,60345,-
6451,128,401,62596,-
9677,1,1006,48209,-
9677,2,744,3042,-
9677,4,649,3043,-
9677,8,500,6896,-
9677,16,446,35135,-
9677,32,393,35143,-
9677,64,389,60342,-
9677,128,390,62590,-
12903,1,927,58364,-
12903,2,708,30405,-
12903,4,650,58366,-
12903,8,571,35130,-
12903,16,460,35134,-
12903,32,425,35131,-
12903,64,377,43800,-
12903,128,374,62590,-
16129,1,1117,58859,-
16129,2,859,27100,-
16129,4,624,27099,-
16129,8,547,35125,-
16129,16,508,35127,-
16129,32,453,58210,-
16129,64,415,43796,-
16129,128,395,62628,-
19354,1,894,58364,-
19354,2,726,58364,-
19354,4,565,46601,-
19354,8,551,6512,-
19354,16,451,39448,-
19354,32,480,58206,-
19354,64,411,43796,-
19354,128,395,62595,-
22580,1,982,48209,-
22580,2,803,48209,-
22580,4,627,48208,-
22580,8,539,55926,-
22580,16,441,39444,-
22580,32,457,58203,-
22580,64,446,43797,-
22580,128,397,41108,-
25806,1,844,35916,-
25806,2,718,16604,-
25806,4,638,16602,-
25806,8,485,60184,-
25806,16,480,37046,-
25806,32,440,35118,-
25806,64,455,2424,-
25806,128,408,41113,-
29032,1,1056,28279,-
29032,2,843,28279,-
29032,4,590,58366,-
29032,8,551,43050,-
29032,16,458,13991,-
29032,32,404,2396,-
29032,64,416,2415,-
29032,128,425,41098,-
32258,1,923,63205,-
32258,2,720,58826,-
32258,4,593,58826,-
32258,8,553,6851,-
32258,16,447,41136,-
32258,32,414,64206,-
32258,64,414,64215,-
32258,128,442,41097,-
35483,1,959,19717,-
35483,2,751,54693,-
35483,4,675,41137,-
35483,8,547,41135,-
35483,16,470,39447,-
35483,32,438,42075,-
35483,64,418,64215,-
35483,128,432,41091,-
38709,1,1011,4894,-
38709,2,774,4895,-
38709,4,647,29376,-
38709,8,522,58597,-
38709,16,517,41131,-
38709,32,440,49819,-
38709,64,435,42059,-
38709,128,436,41084,-
41935,1,955,27047,-
41935,2,877,48209,-
