dm,width,sigma_x100,t,verdict
0,1,882,17294,-
0,2,677,64206,-
0,4,604,64205,-
0,8,504,10593,-
0,16,490,10597,-
0,32,442,8147,-
0,64,469,48139,-
0,128,409,48146,-
3225,1,900,7959,-
3225,2,730,29740,-
3225,4,671,8703,-
3225,8,510,8705,-
3225,16,491,8139,-
3225,32,441,8142,-
3225,64,475,48133,-
3225,128,412,2517,-
6451,1,911,8701,-
6451,2,781,17576,-
6451,4,682,8702,-
6451,8,511,8700,-
6451,16,460,8696,-
6451,32,484,48124,-
6451,64,445,48136,-
6451,128,414,2516,-
9677,1,870,29855,-
9677,2,680,29856,-
9677,4,578,19593,-
9677,8,534,14760,-
9677,16,459,37891,-
9677,32,493,48121,-
9677,64,446,48132,-
9677,128,435,2515,-
12903,1,828,45001,-
12903,2,772,42219,-
12903,4,663,29848,-
12903,8,518,26549,-
12903,16,497,37889,-
12903,32,472,48111,-
12903,64,472,48113,-
12903,128,402,2514,-
16129,1,836,49598,-
16129,2,677,49598,-
16129,4,534,26545,-
16129,8,569,48114,-
16129,16,553,48109,-
16129,32,456,48105,-
16129,64,498,48108,-
16129,128,394,10519,-
19354,1,841,42206,-
19354,2,727,42206,-
19354,4,704,42207,-
19354,8,532,48110,-
19354,16,489,48107,-
19354,32,520,48099,-
19354,64,504,48109,-
19354,128,402,10511,-
22580,1,996,55756,-
22580,2,693,50288,-
22580,4,607,2226,-
22580,8,486,872,-
22580,16,468,64152,-
22580,32,470,48093,-
22580,64,491,48101,-
22580,128,406,10518,-
25806,1,942,16769,-
25806,2,671,24704,-
25806,4,535,14729,-
25806,8,494,16771,-
25806,16,526,64153,-
25806,32,498,48099,-
25806,64,508,48098,-
25806,128,425,10516,-
29032,1,907,63417,-
29032,2,821,64146,-
29032,4,751,64145,-
29032,8,637,64146,-
29032,16,577,64152,-
29032,32,485,48092,-
29032,64,500,48097,-
29032,128,428,10512,-
32258,1,1114,64089,-
32258,2,873,64089,-
32258,4,680,48082,-
32258,8,636,48081,-
32258,16,556,64145,-
32258,32,490,64148,-
32258,64,476,48091,-
32258,128,423,10523,-
35483,1,960,30899,-
35483,2,730,39976,-
35483,4,670,39975,-
35483,8,550,12978,-
35483,16,524,64138,-
35483,32,491,64145,-
35483,64,447,48086,-
35483,128,443,10519,-
38709,1,1027,42166,-
38709,2,770,42166,-
38709,4,604,28560,-
38709,8,577,21814,-
38709,16,490,21814,-
38709,32,480,64135,-
38709,64,448,10485,-
38709,128,459,10512,-
41935,1,957,21811,-
41935,2,700,10506,-
41935,4,610,28772,-
41935,8,673,10509,-
41935,16,512,10508,-
41935,32,492,64130,-
41935,64,462,10487,-
41935,128,452,10530,-
45161,1,853,29782,-
45161,2,820,43932,-
45161,4,689,17496,-
45161,8,590,10502,-
45161,16,559,10506,-
45161,32,478,10493,-
45161,64,497,10491,-
45161,128,466,10523,-
48387,1,842,37808,-
48387,2,711,6683,-
48387,4,617,2226,-
48387,8,533,17493,-
48387,16,483,10499,-
48387,32,477,10491,-
48387,64,495,64132,-
48387,128,476,10523,-
51612,1,885,19506,-
51612,2,770,19507,-
51612,4,611,19508,-
51612,8,529,32006,-
51612,16,492,10468,-
51612,32,597,10476,-
51612,64,534,10490,-
51612,128,484,10519,-
54838,1,906,17477,-
54838,2,792,14297,-
54838,4,729,14296,-
54838,8,530,58078,-
54838,16,493,10480,-
54838,32,604,10473,-
54838,64,610,64119,-
54838,128,496,10512,-
58064,1,888,8701,-
58064,2,825,29756,-
58064,4,624,29755,-
58064,8,645,871,-
58064,16,552,10475,-
58064,32,586,10471,-
58064,64,598,64115,-
58064,128,493,10509,-
61290,1,1045,32009,-
61290,2,720,32009,-
61290,4,669,29848,-
61290,8,509,16062,-
61290,16,537,10466,-
61290,32,544,10464,-
61290,64,555,10475,-
61290,128,483,10504,-
64516,1,1054,21764,-
64516,2,736,15701,-
64516,4,750,29741,-
64516,8,639,29743,-
64516,16,576,10466,-
64516,32,550,10458,-
64516,64,536,10489,-
64516,128,463,10491,-
67741,1,903,55664,-
67741,2,661,42107,-
67741,4,620,871,-
67741,8,542,10460,-
67741,16,536,10458,-
67741,32,494,10464,-
67741,64,537,10483,-
67741,128,479,10471,-
70967,1,904,49598,-
70967,2,787,42101,-
70967,4,670,40323,-
70967,8,490,62301,-
70967,16,518,10453,-
70967,32,487,10460,-
70967,64,556,10477,-
70967,128,483,10467,-
74193,1,976,17437,-
74193,2,751,40324,-
74193,4,597,14284,-
74193,8,542,17439,-
74193,16,440,17138,-
74193,32,423,10454,-
74193,64,507,10470,-
74193,128,476,10476,-
77419,1,927,37749,-
77419,2,781,58075,-
77419,4,621,58075,-
77419,8,531,29217,-
77419,16,483,48077,-
77419,32,406,46149,-
77419,64,464,10466,-
77419,128,483,10465,-
80645,1,968,55637,-
80645,2,781,55637,-
80645,4,635,55638,-
80645,8,617,37746,-
80645,16,557,29213,-
80645,32,422,64082,-
80645,64,444,10480,-
80645,128,497,10463,-
83870,1,804,42074,-
83870,2,781,21492,-
83870,4,645,16061,-
83870,8,564,6681,-
83870,16,583,12984,-
83870,32,423,12984,-
83870,64,435,10451,-
83870,128,499,10459,-
87096,1,996,55624,-
87096,2,697,63794,-
87096,4,659,42069,-
87096,8,559,39010,-
87096,16,527,12983,-
87096,32,447,17131,-
87096,64,432,10480,-
87096,128,496,10460,-
90322,1,901,29689,-
90322,2,661,17404,-
90322,4,617,37515,-
90322,8,578,12979,-
90322,16,523,36988,-
90322,32,430,16047,-
90322,64,439,10480,-
90322,128,481,10448,-
93548,1,918,29683,-
93548,2,704,18473,-
93548,4,645,18472,-
93548,8,482,10477,-
93548,16,483,63425,-
93548,32,417,63419,-
93548,64,426,10481,-
93548,128,463,10453,-
96774,1,765,28759,-
96774,2,752,22134,-
96774,4,541,21467,-
96774,8,455,3443,-
96774,16,458,63425,-
96774,32,431,10464,-
96774,64,428,10480,-
96774,128,453,10451,-
100000,1,842,63417,-
100000,2,810,58075,-
100000,4,722,63419,-
100000,8,542,63420,-
100000,16,447,37705,-
100000,32,404,64100,-
100000,64,405,10477,-
100000,128,452,10449,-
