dm,width,sigma_x100,t,verdict
0,1,856,33556,-
0,2,694,41052,-
0,4,622,15829,-
0,8,553,15828,-
0,16,500,17878,-
0,32,427,15840,-
0,64,383,11395,-
0,128,501,58819,-
3225,1,901,2062,-
3225,2,757,33380,-
3225,4,604,417,-
3225,8,550,418,-
3225,16,499,58872,-
3225,32,436,46938,-
3225,64,371,58848,-
3225,128,508,58816,-
6451,1,770,27940,-
6451,2,728,35697,-
6451,4,594,20081,-
6451,8,491,34722,-
6451,16,429,64003,-
6451,32,432,46935,-
6451,64,364,42268,-
6451,128,459,58816,-
9677,1,875,61457,-
9677,2,625,29977,-
9677,4,664,29628,-
9677,8,496,36821,-
9677,16,450,64001,-
9677,32,459,418,-
9677,64,362,45535,-
9677,128,425,58814,-
12903,1,873,49140,-
12903,2,751,33360,-
12903,4,544,41275,-
12903,8,496,34720,-
12903,16,458,14633,-
12903,32,423,42252,-
12903,64,357,45529,-
12903,128,370,58808,-
16129,1,921,61443,-
16129,2,765,5333,-
16129,4,597,5332,-
16129,8,492,34722,-
16129,16,465,1059,-
16129,32,432,42252,-
16129,64,386,24855,-
16129,128,365,58820,-
19354,1,990,64307,-
19354,2,754,21553,-
19354,4,567,19380,-
19354,8,499,1061,-
19354,16,482,14623,-
19354,32,446,14631,-
19354,64,400,24852,-
19354,128,380,58818,-
22580,1,869,24277,-
22580,2,717,43745,-
22580,4,569,24279,-
22580,8,530,46421,-
22580,16,439,58785,-
22580,32,435,47517,-
22580,64,418,24854,-
22580,128,378,58818,-
25806,1,844,8664,-
25806,2,732,8664,-
25806,4,623,8663,-
25806,8,531,24274,-
25806,16,502,47514,-
25806,32,437,13038,-
25806,64,432,24839,-
25806,128,379,11370,-
29032,1,816,33497,-
29032,2,646,47371,-
29032,4,601,47372,-
29032,8,530,47374,-
29032,16,554,13030,-
29032,32,455,13034,-
29032,64,431,24841,-
29032,128,382,58817,-
32258,1,892,54301,-
32258,2,741,54302,-
32258,4,578,11378,-
32258,8,612,47508,-
32258,16,539,47512,-
32258,32,513,65322,-
32258,64,437,24831,-
32258,128,366,58814,-
35483,1,848,32524,-
35483,2,674,64575,-
35483,4,554,33459,-
35483,8,494,65308,-
35483,16,471,47506,-
35483,32,495,65318,-
35483,64,450,24830,-
35483,128,362,58818,-
38709,1,898,46929,-
38709,2,643,5287,-
38709,4,587,11113,-
38709,8,548,11114,-
38709,16,478,29564,-
38709,32,531,33472,-
38709,64,439,33463,-
38709,128,354,58818,-
41935,1,902,24238,-
41935,2,634,49316,-
41935,4,592,47372,-
41935,8,526,11108,-
41935,16,591,33464,-
41935,32,531,33472,-
41935,64,436,58774,-
41935,128,337,58816,-
45161,1,978,13356,-
45161,2,831,13356,-
45161,4,795,33459,-
45161,8,857,33461,-
45161,16,604,33465,-
45161,32,546,33464,-
45161,64,407,33454,-
45161,128,343,35330,-
48387,1,1070,33457,-
48387,2,987,33458,-
48387,4,856,33459,-
48387,8,675,33457,-
48387,16,538,33456,-
48387,32,502,33464,-
48387,64,390,33470,-
48387,128,352,35315,-
51612,1,970,49061,-
51612,2,699,49061,-
51612,4,601,318,-
51612,8,566,645,-
51612,16,539,64449,-
51612,32,500,657,-
51612,64,413,33464,-
51612,128,343,35312,-
54838,1,995,41275,-
54838,2,687,43746,-
54838,4,668,53599,-
54838,8,521,61368,-
54838,16,555,51998,-
54838,32,477,653,-
54838,64,415,33463,-
54838,128,345,35312,-
58064,1,968,49316,-
58064,2,817,23763,-
58064,4,592,23764,-
58064,8,590,34722,-
58064,16,545,51995,-
58064,32,435,7593,-
58064,64,397,33458,-
58064,128,358,17708,-
61290,1,1000,17907,-
61290,2,819,17907,-
61290,4,691,17906,-
61290,8,589,34721,-
61290,16,578,7588,-
61290,32,451,7596,-
61290,64,402,17735,-
61290,128,367,35297,-
64516,1,865,43745,-
64516,2,841,33254,-
64516,4,702,33254,-
64516,8,636,34720,-
64516,16,582,7585,-
64516,32,462,1680,-
64516,64,413,35322,-
64516,128,386,35290,-
67741,1,915,25293,-
67741,2,683,24186,-
67741,4,604,51816,-
67741,8,558,53596,-
67741,16,507,7581,-
67741,32,462,7582,-
67741,64,448,17722,-
67741,128,383,35288,-
70967,1,1113,33411,-
70967,2,872,33411,-
70967,4,691,33459,-
70967,8,522,17729,-
70967,16,500,17730,-
70967,32,510,17741,-
70967,64,414,17721,-
70967,128,383,17696,-
74193,1,946,33404,-
74193,2,753,24861,-
74193,4,682,19878,-
74193,8,557,34720,-
74193,16,528,17726,-
74193,32,476,17737,-
74193,64,419,17721,-
74193,128,373,17691,-
77419,1,988,24165,-
77419,2,714,43746,-
77419,4,570,16414,-
77419,8,559,19875,-
77419,16,478,4806,-
77419,32,465,44481,-
77419,64,394,17702,-
77419,128,385,17695,-
80645,1,891,33391,-
80645,2,755,64482,-
80645,4,560,59650,-
80645,8,534,59648,-
80645,16,462,17712,-
80645,32,479,44481,-
80645,64,454,47379,-
80645,128,388,17696,-
83870,1,1030,33385,-
83870,2,879,59645,-
83870,4,660,59644,-
83870,8,535,59648,-
83870,16,460,43753,-
83870,32,491,17719,-
83870,64,459,47379,-
83870,128,380,17691,-
87096,1,828,61298,-
87096,2,649,33379,-
87096,4,601,17853,-
87096,8,481,37909,-
87096,16,451,17699,-
87096,32,448,17700,-
87096,64,494,47379,-
87096,128,386,17682,-
90322,1,827,54704,-
90322,2,773,33201,-
90322,4,615,5656,-
90322,8,532,43749,-
90322,16,472,17697,-
90322,32,458,17696,-
90322,64,485,47376,-
90322,128,396,17680,-
93548,1,905,21552,-
93548,2,694,38797,-
93548,4,625,232,-
93548,8,516,230,-
93548,16,454,4802,-
93548,32,472,47367,-
93548,64,502,47379,-
93548,128,385,17677,-
96774,1,820,11656,-
96774,2,700,37576,-
96774,4,713,225,-
96774,8,544,223,-
96774,16,475,47375,-
96774,32,493,47367,-
96774,64,480,47367,-
96774,128,387,24824,-
100000,1,784,33351,-
100000,2,786,29287,-
100000,4,579,33180,-
100000,8,561,10988,-
100000,16,470,33359,-
100000,32,511,47358,-
100000,64,510,47362,-
100000,128,380,47330,-
