dm,width,sigma_x100,t,verdict
0,1,992,30631,-
0,2,732,19937,-
0,4,607,19938,-
0,8,579,60063,-
0,16,451,34831,-
0,32,388,10820,-
0,64,427,19918,-
0,128,445,10802,-
3225,1,975,30625,-
3225,2,758,30625,-
3225,4,624,33577,-
3225,8,506,19934,-
3225,16,462,19938,-
3225,32,397,26450,-
3225,64,422,19912,-
3225,128,447,10794,-
6451,1,950,30618,-
6451,2,772,55872,-
6451,4,598,65212,-
6451,8,491,46455,-
6451,16,449,19929,-
6451,32,405,26447,-
6451,64,437,19906,-
6451,128,456,10789,-
9677,1,1041,38293,-
9677,2,755,38293,-
9677,4,594,48774,-
9677,8,579,52293,-
9677,16,423,52295,-
9677,32,399,26447,-
9677,64,444,5093,-
9677,128,443,10783,-
12903,1,910,30605,-
12903,2,649,30605,-
12903,4,610,46710,-
12903,8,547,61782,-
12903,16,480,5112,-
12903,32,465,5061,-
12903,64,482,5087,-
12903,128,440,10780,-
16129,1,964,38293,-
16129,2,686,30598,-
16129,4,551,41455,-
16129,8,461,41454,-
16129,16,462,5062,-
16129,32,498,5059,-
16129,64,463,5086,-
16129,128,441,10779,-
19354,1,1063,30592,-
19354,2,794,30593,-
19354,4,627,17235,-
19354,8,557,17233,-
19354,16,524,46422,-
19354,32,525,5054,-
19354,64,469,5076,-
19354,128,442,10773,-
22580,1,1000,30585,-
22580,2,794,46419,-
22580,4,694,46418,-
22580,8,609,46420,-
22580,16,507,5053,-
22580,32,538,5052,-
22580,64,513,5067,-
22580,128,440,10776,-
25806,1,1068,30579,-
25806,2,712,30579,-
25806,4,667,56334,-
25806,8,546,46415,-
25806,16,524,5050,-
25806,32,541,5051,-
25806,64,491,5076,-
25806,128,434,10759,-
29032,1,971,38293,-
29032,2,721,30573,-
29032,4,590,30574,-
29032,8,592,5044,-
29032,16,579,5041,-
29032,32,518,5049,-
29032,64,487,5064,-
29032,128,434,10762,-
32258,1,978,30565,-
32258,2,703,20022,-
32258,4,600,16323,-
32258,8,582,2145,-
32258,16,561,5039,-
32258,32,499,5047,-
