dm,width,sigma_x100,t,verdict
0,1,909,13263,-
0,2,712,59338,-
0,4,594,37079,-
0,8,500,10431,-
0,16,448,29393,-
0,32,464,32497,-
0,64,417,14441,-
0,128,335,33946,-
3225,1,893,49731,-
3225,2,798,9928,-
3225,4,672,9928,-
3225,8,514,9929,-
3225,16,457,59009,-
3225,32,391,33978,-
3225,64,417,33962,-
3225,128,348,11245,-
6451,1,906,53853,-
6451,2,780,9928,-
6451,4,722,24252,-
6451,8,516,65210,-
6451,16,475,11018,-
6451,32,371,33971,-
6451,64,411,33959,-
6451,128,336,15546,-
9677,1,823,53853,-
9677,2,662,49731,-
9677,4,571,22282,-
9677,8,549,41796,-
9677,16,477,18020,-
9677,32,403,18015,-
9677,64,431,33959,-
9677,128,346,15539,-
12903,1,943,53853,-
12903,2,770,60641,-
12903,4,618,60642,-
12903,8,604,39261,-
12903,16,528,18015,-
12903,32,412,52252,-
12903,64,441,33961,-
12903,128,355,15539,-
16129,1,910,25443,-
16129,2,664,52247,-
16129,4,578,1569,-
16129,8,583,1571,-
16129,16,521,33938,-
16129,32,450,33945,-
16129,64,458,33955,-
16129,128,357,15536,-
19354,1,915,32222,-
19354,2,791,32222,-
19354,4,622,19868,-
19354,8,535,19868,-
19354,16,463,57555,-
19354,32,436,33939,-
19354,64,442,15551,-
19354,128,333,20447,-
22580,1,867,53853,-
22580,2,683,65046,-
22580,4,535,15531,-
22580,8,557,15534,-
22580,16,601,15537,-
22580,32,556,15545,-
22580,64,448,15561,-
22580,128,334,20440,-
25806,1,926,11918,-
25806,2,790,49323,-
25806,4,669,15530,-
25806,8,590,41762,-
25806,16,606,15533,-
25806,32,487,15541,-
25806,64,443,15553,-
25806,128,341,20440,-
29032,1,923,5733,-
29032,2,776,15530,-
29032,4,659,15530,-
29032,8,540,27239,-
29032,16,576,15526,-
29032,32,467,15533,-
29032,64,429,15547,-
29032,128,340,20433,-
32258,1,1038,59977,-
32258,2,808,11905,-
32258,4,587,19868,-
32258,8,626,27233,-
32258,16,523,55806,-
32258,32,480,19857,-
32258,64,420,15541,-
32258,128,344,15560,-
35483,1,1004,49789,-
35483,2,952,9928,-
35483,4,675,9927,-
35483,8,480,19866,-
35483,16,493,55804,-
35483,32,459,19855,-
35483,64,417,19871,-
35483,128,358,15561,-
38709,1,985,11891,-
38709,2,802,49731,-
38709,4,642,11893,-
38709,8,544,49728,-
38709,16,460,54502,-
38709,32,450,19855,-
38709,64,423,19872,-
38709,128,366,15555,-
41935,1,1039,11885,-
41935,2,794,48902,-
41935,4,902,48903,-
41935,8,581,48904,-
41935,16,471,20386,-
41935,32,455,21203,-
41935,64,411,19867,-
41935,128,368,15550,-
45161,1,1100,53853,-
45161,2,777,53854,-
45161,4,617,54496,-
45161,8,506,2954,-
45161,16,476,25450,-
45161,32,438,42516,-
45161,64,402,19859,-
45161,128,354,15549,-
48387,1,1014,25443,-
48387,2,866,25443,-
48387,4,637,57266,-
48387,8,611,2947,-
48387,16,488,57263,-
48387,32,433,2935,-
48387,64,371,42500,-
48387,128,360,19865,-
51612,1,1029,2944,-
51612,2,864,25443,-
51612,4,615,25444,-
51612,8,581,39261,-
51612,16,469,39257,-
51612,32,437,32908,-
51612,64,406,49716,-
51612,128,362,15523,-
54838,1,837,45744,-
54838,2,690,39258,-
54838,4,729,61649,-
54838,8,521,19870,-
54838,16,446,39258,-
54838,32,464,32901,-
54838,64,399,49719,-
54838,128,366,15523,-
58064,1,988,53853,-
58064,2,703,56844,-
58064,4,628,30861,-
58064,8,523,37697,-
58064,16,468,19866,-
58064,32,437,52159,-
58064,64,375,12266,-
58064,128,375,19848,-
61290,1,874,39244,-
61290,2,662,59919,-
61290,4,658,47789,-
61290,8,560,12849,-
61290,16,435,49730,-
61290,32,438,19858,-
61290,64,402,49707,-
61290,128,370,52109,-
64516,1,894,53853,-
64516,2,743,9928,-
64516,4,617,37699,-
64516,8,539,37698,-
64516,16,463,52153,-
64516,32,461,19859,-
64516,64,414,49700,-
64516,128,383,52100,-
67741,1,863,32222,-
67741,2,811,32223,-
67741,4,572,32223,-
67741,8,577,37697,-
67741,16,484,52149,-
67741,32,441,52142,-
67741,64,395,19858,-
67741,128,400,52096,-
70967,1,845,9927,-
70967,2,783,25397,-
70967,4,582,17614,-
70967,8,509,53627,-
70967,16,477,52141,-
70967,32,479,43724,-
70967,64,405,19852,-
70967,128,405,52099,-
74193,1,972,49709,-
74193,2,716,28640,-
74193,4,625,37699,-
74193,8,510,37698,-
74193,16,488,52134,-
74193,32,440,64928,-
74193,64,401,56861,-
74193,128,388,52099,-
77419,1,902,10270,-
77419,2,700,64934,-
77419,4,619,19868,-
77419,8,587,64932,-
77419,16,515,52127,-
77419,32,454,52119,-
77419,64,399,56855,-
77419,128,380,52096,-
80645,1,1014,63453,-
80645,2,695,9928,-
80645,4,611,61596,-
80645,8,562,35149,-
80645,16,539,52122,-
80645,32,481,52122,-
80645,64,418,56854,-
80645,128,401,52064,-
83870,1,931,59513,-
83870,2,859,15530,-
83870,4,653,37696,-
83870,8,568,37697,-
83870,16,557,52115,-
83870,32,523,52118,-
83870,64,407,56850,-
83870,128,399,52063,-
87096,1,1000,11792,-
87096,2,758,64914,-
87096,4,739,25564,-
87096,8,653,25562,-
87096,16,662,52109,-
87096,32,547,52114,-
87096,64,413,52099,-
87096,128,404,52067,-
90322,1,1164,53853,-
90322,2,830,53853,-
90322,4,599,53852,-
90322,8,562,21106,-
90322,16,542,52107,-
90322,32,587,52107,-
90322,64,429,52102,-
90322,128,407,23670,-
93548,1,1140,53853,-
93548,2,885,53853,-
93548,4,635,53852,-
93548,8,547,53850,-
93548,16,541,52095,-
93548,32,592,52103,-
93548,64,438,52096,-
