dm,width,sigma_x100,t,verdict
0,1,1018,22395,-
0,2,773,37711,-
0,4,634,61540,-
0,8,468,61542,-
0,16,448,48292,-
0,32,395,8003,-
0,64,352,42602,-
0,128,343,31779,-
3225,1,832,35313,-
3225,2,747,35814,-
3225,4,535,11049,-
3225,8,499,10796,-
3225,16,421,42600,-
3225,32,415,8003,-
3225,64,353,42576,-
3225,128,355,31782,-
6451,1,795,35313,-
6451,2,639,63606,-
6451,4,591,47149,-
6451,8,510,44166,-
6451,16,423,44170,-
6451,32,404,17472,-
6451,64,368,42580,-
6451,128,354,31775,-
9677,1,832,30116,-
9677,2,672,1511,-
9677,4,577,40184,-
9677,8,504,44161,-
9677,16,433,44166,-
9677,32,402,43082,-
9677,64,387,42574,-
9677,128,323,31775,-
12903,1,1013,57308,-
12903,2,788,57308,-
12903,4,581,22528,-
12903,8,504,59152,-
12903,16,529,7681,-
12903,32,399,43080,-
12903,64,393,42569,-
12903,128,322,37745,-
16129,1,838,57308,-
16129,2,711,8010,-
16129,4,776,13870,-
16129,8,629,13868,-
16129,16,453,13871,-
16129,32,449,42552,-
16129,64,414,42571,-
16129,128,319,37738,-
19354,1,848,28311,-
19354,2,646,36496,-
19354,4,674,51543,-
19354,8,594,51541,-
19354,16,455,13865,-
19354,32,423,42551,-
19354,64,409,42567,-
19354,128,307,37719,-
22580,1,1033,22395,-
22580,2,692,7875,-
22580,4,664,60309,-
22580,8,589,60307,-
22580,16,507,42546,-
22580,32,432,42544,-
22580,64,409,49684,-
22580,128,312,31778,-
25806,1,823,30685,-
25806,2,677,30686,-
25806,4,535,18251,-
25806,8,508,31331,-
25806,16,453,31327,-
25806,32,433,42537,-
25806,64,416,49683,-
25806,128,327,31780,-
29032,1,872,57308,-
29032,2,675,37697,-
29032,4,607,44768,-
29032,8,511,44768,-
29032,16,433,42543,-
29032,32,390,37010,-
29032,64,379,42554,-
29032,128,314,42577,-
32258,1,902,48617,-
32258,2,755,48617,-
32258,4,546,44766,-
32258,8,549,44764,-
32258,16,449,18163,-
32258,32,390,10031,-
32258,64,376,42550,-
32258,128,303,42572,-
35483,1,813,35747,-
35483,2,707,35701,-
35483,4,558,10015,-
35483,8,502,18255,-
35483,16,484,44762,-
35483,32,419,44753,-
35483,64,386,63188,-
35483,128,308,63527,-
38709,1,971,35313,-
38709,2,701,17646,-
38709,4,627,22250,-
38709,8,482,18253,-
38709,16,478,51501,-
38709,32,423,51509,-
38709,64,367,63185,-
38709,128,324,37736,-
41935,1,870,28311,-
41935,2,757,51496,-
41935,4,659,51497,-
41935,8,597,51495,-
41935,16,491,16462,-
41935,32,405,44745,-
41935,64,377,63173,-
41935,128,305,63515,-
45161,1,919,58414,-
45161,2,787,35701,-
45161,4,562,16460,-
45161,8,532,16462,-
45161,16,489,16461,-
45161,32,412,44739,-
45161,64,384,63169,-
45161,128,314,24877,-
48387,1,1096,31837,-
48387,2,869,31838,-
48387,4,585,14026,-
48387,8,483,16457,-
48387,16,510,44732,-
48387,32,426,44735,-
48387,64,365,63159,-
48387,128,309,42548,-
51612,1,914,61860,-
51612,2,733,63184,-
51612,4,599,48617,-
51612,8,502,54159,-
51612,16,445,44733,-
51612,32,408,19112,-
51612,64,395,63465,-
51612,128,327,63495,-
54838,1,825,30116,-
54838,2,668,42248,-
54838,4,510,37006,-
54838,8,472,17416,-
54838,16,466,56686,-
54838,32,417,19108,-
54838,64,413,63463,-
54838,128,313,63491,-
58064,1,867,57308,-
58064,2,668,35328,-
58064,4,610,6859,-
58064,8,548,60120,-
58064,16,431,56683,-
58064,32,453,19105,-
58064,64,440,63464,-
58064,128,337,63496,-
61290,1,971,16428,-
61290,2,737,16428,-
61290,4,686,59054,-
61290,8,620,59054,-
61290,16,460,18251,-
61290,32,469,19099,-
61290,64,461,63463,-
61290,128,326,63490,-
64516,1,802,35508,-
64516,2,669,51496,-
64516,4,590,4238,-
64516,8,517,31673,-
64516,16,466,18251,-
64516,32,480,19098,-
64516,64,467,63458,-
64516,128,329,63483,-
67741,1,829,2566,-
67741,2,631,38213,-
67741,4,624,51495,-
67741,8,480,35316,-
67741,16,480,28049,-
67741,32,437,63477,-
67741,64,451,63462,-
67741,128,337,1544,-
70967,1,894,18722,-
70967,2,713,8010,-
70967,4,541,35312,-
70967,8,495,7614,-
70967,16,470,28045,-
70967,32,438,28042,-
70967,64,451,63456,-
70967,128,336,1546,-
74193,1,828,22470,-
74193,2,750,11244,-
74193,4,613,24822,-
74193,8,492,24822,-
74193,16,485,28038,-
74193,32,463,28041,-
74193,64,456,63456,-
74193,128,341,61133,-
77419,1,826,36376,-
77419,2,702,13333,-
77419,4,538,24725,-
77419,8,498,38590,-
77419,16,483,45465,-
77419,32,454,28040,-
77419,64,418,63457,-
77419,128,347,63433,-
80645,1,902,57308,-
80645,2,768,59053,-
80645,4,587,1872,-
80645,8,534,44665,-
80645,16,529,44668,-
80645,32,491,63812,-
80645,64,403,63464,-
80645,128,362,61118,-
83870,1,804,57308,-
83870,2,738,18252,-
83870,4,570,18252,-
83870,8,532,61124,-
83870,16,482,44663,-
83870,32,465,63806,-
83870,64,421,63456,-
83870,128,375,61116,-
87096,1,797,1511,-
87096,2,777,18252,-
87096,4,651,18252,-
87096,8,630,18249,-
87096,16,509,44653,-
87096,32,456,44660,-
87096,64,412,61143,-
87096,128,399,63436,-
90322,1,941,15729,-
90322,2,810,5508,-
90322,4,641,5509,-
90322,8,533,18242,-
90322,16,469,18245,-
90322,32,449,44654,-
90322,64,453,61127,-
90322,128,401,63430,-
93548,1,830,57724,-
93548,2,673,5502,-
93548,4,559,1875,-
93548,8,491,5505,-
93548,16,440,64998,-
93548,32,448,44651,-
93548,64,447,61127,-
93548,128,391,63430,-
96774,1,864,1752,-
96774,2,695,36868,-
96774,4,649,18721,-
96774,8,561,64994,-
96774,16,528,56188,-
96774,32,421,61111,-
96774,64,484,61125,-
96774,128,380,63431,-
100000,1,967,1873,-
100000,2,764,17646,-
100000,4,670,1875,-
100000,8,560,24824,-
100000,16,513,52404,-
100000,32,424,61130,-
100000,64,501,61117,-
100000,128,374,63426,-
