tag,rank,bin,alpha_hz_x100,ratio_x100,hit
Y2,0,26365,117860734,140,0
Y2,1,1852,8279085,140,0
Y2,2,16045,71726739,138,0
Y2,3,396,1770257,138,0
Y2,4,20932,93573331,138,0
Y2,5,4769,21319091,138,0
Y2,6,30465,136189162,136,0
Y2,7,20615,92156231,136,0
Y4,0,3527,15766918,145,0
Y4,1,17645,78879296,138,0
Y4,2,32198,143936276,137,0
Y4,3,9960,44524669,135,0
Y4,4,6792,30362606,135,0
Y4,5,26365,117860734,135,0
Y4,6,14606,65293908,134,0
Y4,7,10303,46057999,134,0
