dm,width,sigma_x100,t,verdict
88888,16,494,259875,-
88888,32,554,75142,-
88888,64,508,101274,-
88888,128,456,49233,-
92063,1,1343,4788,-
92063,2,907,4788,-
92063,4,793,4787,-
92063,8,612,75154,-
92063,16,506,75149,-
92063,32,550,75142,-
92063,64,510,101274,-
92063,128,449,49233,-
95238,1,1350,4787,-
95238,2,968,4787,-
95238,4,776,4787,-
95238,8,595,4789,-
95238,16,509,259877,-
95238,32,548,75142,-
95238,64,511,101274,-
95238,128,454,49226,-
98412,1,1295,4787,-
98412,2,921,4787,-
98412,4,757,4786,-
98412,8,623,75153,-
98412,16,499,259877,-
98412,32,550,75142,-
98412,64,517,101274,-
98412,128,448,49226,-
101587,1,1355,4786,-
101587,2,1049,107450,-
101587,4,772,4786,-
101587,8,597,75153,-
101587,16,517,75148,-
101587,32,564,75144,-
101587,64,503,101273,-
101587,128,459,49225,-
104761,1,1361,4786,-
104761,2,1062,107450,-
104761,4,759,4786,-
104761,8,591,75152,-
104761,16,518,75148,-
104761,32,564,75144,-
104761,64,502,101273,-
104761,128,456,49225,-
107936,1,1298,4786,-
107936,2,1138,107450,-
107936,4,741,4787,-
107936,8,617,75152,-
107936,16,539,75147,-
107936,32,558,75144,-
107936,64,502,101272,-
107936,128,453,49225,-
111111,1,1505,4785,SHOT
111111,2,1158,107450,-
111111,4,787,4787,-
111111,8,595,75152,-
111111,16,527,75147,-
111111,32,566,75143,-
111111,64,503,101272,-
111111,128,453,49225,-
114285,1,1505,4785,SHOT
114285,2,1158,107450,-
114285,4,787,4787,-
114285,8,595,75152,-
114285,16,527,75147,-
114285,32,566,75143,-
114285,64,503,101272,-
114285,128,453,49225,-
117460,1,1441,4784,SHOT
117460,2,954,4784,-
117460,4,772,4786,-
117460,8,587,219989,-
117460,16,525,75146,-
117460,32,575,75142,-
117460,64,498,101270,-
117460,128,452,49224,-
120634,1,1441,4784,SHOT
120634,2,954,4784,-
120634,4,772,4786,-
120634,8,587,219989,-
120634,16,525,75146,-
120634,32,575,75142,-
120634,64,498,101270,-
120634,128,452,49224,-
123809,1,1309,4783,-
123809,2,915,4784,-
123809,4,758,107449,-
123809,8,598,75148,-
123809,16,509,75147,-
123809,32,555,75141,-
123809,64,499,101270,-
123809,128,440,49161,-
126984,1,1373,24792,-
126984,2,987,24792,-
126984,4,763,4785,-
126984,8,602,4783,-
126984,16,526,75145,-
126984,32,561,75141,-
126984,64,503,49191,-
126984,128,437,49159,-
130158,1,1373,24792,-
130158,2,922,24792,-
130158,4,779,107449,-
130158,8,605,75149,-
130158,16,544,75145,-
130158,32,570,75141,-
130158,64,506,101270,-
130158,128,438,49161,-
133333,1,1303,4782,-
133333,2,938,24792,-
133333,4,741,4781,-
133333,8,619,4783,-
133333,16,532,75147,-
133333,32,559,75140,-
133333,64,487,101269,-
133333,128,442,49159,-
136507,1,1344,4782,-
136507,2,918,4782,-
136507,4,781,4781,-
136507,8,631,4782,-
136507,16,519,75144,-
136507,32,554,75140,-
136507,64,496,49190,-
136507,128,437,49158,-
139682,1,1325,4781,-
139682,2,892,4781,-
139682,4,795,4780,-
139682,8,650,4782,-
139682,16,526,75147,-
139682,32,537,75139,-
139682,64,506,101267,-
139682,128,437,49158,-
142857,1,1320,4781,-
142857,2,894,4781,-
142857,4,796,4780,-
142857,8,651,4782,-
142857,16,541,75147,-
142857,32,544,75139,-
142857,64,505,101267,-
142857,128,442,49158,-
146031,1,1365,4780,-
146031,2,1073,4780,-
146031,4,813,4780,-
146031,8,646,4782,-
146031,16,528,75146,-
146031,32,545,75138,-
146031,64,512,101266,-
146031,128,436,49158,-
149206,1,1358,4780,-
149206,2,1074,4780,-
149206,4,812,4780,-
149206,8,644,4782,-
149206,16,542,75146,-
149206,32,552,75138,-
149206,64,510,101266,-
149206,128,433,49158,-
152380,1,1564,4779,SHOT
152380,2,1100,4779,-
152380,4,812,4778,-
152380,8,650,75145,-
152380,16,547,240138,-
152380,32,537,75142,-
152380,64,509,101266,-
152380,128,427,49157,-
155555,1,1543,4779,SHOT
155555,2,1148,4779,-
155555,4,840,4778,-
155555,8,647,75145,-
155555,16,543,240138,-
155555,32,535,75142,-
155555,64,523,101266,-
155555,128,430,49157,-
158730,1,1541,4779,SHOT
158730,2,1145,4779,-
158730,4,840,4778,-
158730,8,675,75145,-
158730,16,549,240138,-
158730,32,525,75141,-
158730,64,525,101266,-
158730,128,427,49165,-
161904,1,1494,4778,SHOT
161904,2,1104,4779,-
161904,4,837,4778,-
161904,8,646,75143,-
161904,16,549,240138,-
161904,32,544,75141,-
161904,64,512,101265,-
161904,128,435,49165,-
165079,1,1477,4778,SHOT
165079,2,1087,4779,-
165079,4,879,4778,-
165079,8,669,75143,-
165079,16,545,4775,-
165079,32,541,75141,-
165079,64,512,101265,-
165079,128,430,49165,-
168253,1,1391,4777,-
168253,2,993,4778,-
168253,4,825,4779,-
168253,8,674,75143,-
168253,16,542,75138,-
168253,32,524,75141,-
168253,64,495,101264,-
168253,128,436,49166,-
171428,1,1391,4777,-
171428,2,993,4778,-
171428,4,825,4779,-
171428,8,674,75143,-
171428,16,542,75138,-
171428,32,524,75141,-
171428,64,495,101264,-
171428,128,436,49166,-
174603,1,1464,4776,SHOT
174603,2,991,4777,-
174603,4,855,4778,-
174603,8,728,75143,-
174603,16,550,219992,-
174603,32,524,75129,-
174603,64,495,101265,-
174603,128,436,49165,-
177777,1,1464,4776,SHOT
177777,2,991,4777,-
177777,4,855,4778,-
177777,8,728,75143,-
177777,16,550,219992,-
177777,32,524,75129,-
177777,64,495,101265,-
177777,128,436,49165,-
180952,1,1464,4776,SHOT
180952,2,991,4777,-
180952,4,855,4778,-
180952,8,728,75143,-
180952,16,550,219992,-
180952,32,524,75129,-
180952,64,495,101265,-
180952,128,436,49165,-
184126,1,1345,4775,-
184126,2,950,4776,-
184126,4,793,4777,-
184126,8,709,75143,-
184126,16,556,4772,-
184126,32,527,75129,-
184126,64,492,101262,-
184126,128,442,49164,-
187301,1,1394,4775,-
187301,2,974,4776,-
187301,4,789,4777,-
187301,8,696,75142,-
