dm,width,sigma_x100,t,verdict
88888,16,583,96863,-
88888,32,463,96865,-
88888,64,419,9319,-
88888,128,416,9351,-
92063,1,1059,38453,-
92063,2,869,47215,-
92063,4,715,38452,-
92063,8,548,96863,-
92063,16,583,96863,-
92063,32,462,96865,-
92063,64,423,9319,-
92063,128,415,9351,-
95238,1,1165,201411,-
95238,2,875,38454,-
95238,4,641,38452,-
95238,8,575,96865,-
95238,16,607,96863,-
95238,32,462,181110,-
95238,64,416,9353,-
95238,128,417,9350,-
98412,1,1090,201411,-
98412,2,890,38454,-
98412,4,645,47213,-
98412,8,582,9325,-
98412,16,595,96863,-
98412,32,459,96864,-
98412,64,417,9353,-
98412,128,416,9350,-
101587,1,1260,38453,-
101587,2,859,38454,-
101587,4,650,36537,-
101587,8,569,9324,-
101587,16,598,96862,-
101587,32,448,96863,-
101587,64,421,9352,-
101587,128,419,9350,-
104761,1,1283,38453,-
104761,2,867,38454,-
104761,4,666,36537,-
104761,8,559,9324,-
104761,16,600,96862,-
104761,32,450,96863,-
104761,64,418,9352,-
104761,128,417,9349,-
107936,1,1211,38453,-
107936,2,892,47213,-
107936,4,673,36537,-
107936,8,562,96865,-
107936,16,586,96862,-
107936,32,453,96863,-
107936,64,418,9353,-
107936,128,417,9350,-
111111,1,1098,47211,-
111111,2,863,47212,-
111111,4,710,36536,-
111111,8,554,9325,-
111111,16,576,96862,-
111111,32,447,42919,-
111111,64,424,9353,-
111111,128,418,9349,-
114285,1,1098,47211,-
114285,2,863,47212,-
114285,4,710,36536,-
114285,8,554,9325,-
114285,16,576,96862,-
114285,32,447,42919,-
114285,64,424,9353,-
114285,128,418,9349,-
117460,1,1069,38453,-
117460,2,759,242742,-
117460,4,664,96861,-
117460,8,562,47096,-
117460,16,577,96861,-
117460,32,459,42919,-
117460,64,422,9352,-
117460,128,417,9349,-
120634,1,1069,38453,-
120634,2,759,242742,-
120634,4,664,96861,-
120634,8,562,47096,-
120634,16,577,96861,-
120634,32,459,42919,-
120634,64,422,9352,-
120634,128,417,9349,-
123809,1,1085,230328,-
123809,2,786,96861,-
123809,4,753,9323,-
123809,8,615,47096,-
123809,16,581,96861,-
123809,32,453,96859,-
123809,64,424,9350,-
123809,128,403,9357,-
126984,1,1095,47209,-
126984,2,784,38454,-
126984,4,709,9323,-
126984,8,612,47096,-
126984,16,544,96861,-
126984,32,458,96859,-
126984,64,428,9351,-
126984,128,402,9357,-
130158,1,1102,230328,-
130158,2,795,230328,-
130158,4,704,9323,-
130158,8,599,47095,-
130158,16,545,96859,-
130158,32,459,96859,-
130158,64,429,9351,-
130158,128,402,9356,-
133333,1,1191,38453,-
133333,2,901,230328,-
133333,4,699,9323,-
133333,8,620,47095,-
133333,16,533,9330,-
133333,32,460,96859,-
133333,64,429,9350,-
133333,128,401,9347,-
136507,1,1168,230327,-
136507,2,916,230328,-
136507,4,700,9323,-
136507,8,637,47095,-
136507,16,533,9330,-
136507,32,460,96859,-
136507,64,427,9350,-
136507,128,401,9347,-
139682,1,1189,38453,-
139682,2,785,47207,-
139682,4,694,9323,-
139682,8,617,47094,-
139682,16,546,9330,-
139682,32,471,96856,-
139682,64,420,9349,-
139682,128,397,9325,-
142857,1,1192,38453,-
142857,2,785,38453,-
142857,4,686,9323,-
142857,8,609,47094,-
142857,16,543,9330,-
142857,32,466,96856,-
142857,64,426,9349,-
142857,128,396,9346,-
146031,1,1178,47206,-
146031,2,859,47207,-
146031,4,683,172627,-
146031,8,595,47094,-
146031,16,545,230320,-
146031,32,468,47106,-
146031,64,414,9313,-
146031,128,398,7790,-
