tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,8192,0,537,19204616,110,-5,0
Y2,8192,1,355,12695789,110,-3,0
Y2,8192,2,379,13554096,110,-3,0
Y2,8192,3,417,14913082,110,-2,0
Y2,8192,4,189,6759166,109,0,0
Y4,8192,0,537,19204616,114,-163,0
Y4,8192,1,810,28967857,111,-23,0
Y4,8192,2,1311,46885013,111,-17,0
Y4,8192,3,2498,89335441,110,-3,0
Y4,8192,4,3117,111472606,110,-3,0
