tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,8192,0,2603,93090534,112,-83,0
Y2,8192,1,106,3790855,112,-82,0
Y2,8192,2,1356,48494338,110,-6,0
Y2,8192,3,56,2002716,110,-1,0
Y2,8192,4,661,23639202,109,0,0
Y4,8192,0,827,29575824,111,-25,0
Y4,8192,1,152,5435943,111,-18,0
Y4,8192,2,256,9155273,110,-9,0
Y4,8192,3,181,6473064,110,-5,0
Y4,8192,4,1766,63157081,110,-2,0
