dm,width,sigma_x100,t,verdict
0,1,751,39685,-
0,2,866,39686,-
0,4,587,39686,-
0,8,530,10829,-
0,16,471,10825,-
0,32,411,10832,-
0,64,362,42869,-
0,128,282,8255,-
3225,1,965,63887,-
3225,2,679,12498,-
3225,4,570,12500,-
3225,8,553,12501,-
3225,16,501,6673,-
3225,32,407,12487,-
3225,64,334,12475,-
3225,128,295,8230,-
6451,1,891,52200,-
6451,2,704,43169,-
6451,4,522,52374,-
6451,8,505,51386,-
6451,16,454,49400,-
6451,32,442,47050,-
6451,64,427,23387,-
6451,128,334,11797,-
9677,1,812,13863,-
9677,2,701,21757,-
9677,4,603,6583,-
9677,8,546,6579,-
9677,16,551,6577,-
9677,32,449,6584,-
9677,64,390,43418,-
9677,128,329,11762,-
12903,1,698,10060,-
12903,2,708,39686,-
12903,4,552,29586,-
12903,8,549,28648,-
12903,16,440,6530,-
12903,32,404,12008,-
12903,64,378,43341,-
12903,128,359,43384,-
16129,1,987,45451,-
16129,2,697,13058,-
16129,4,584,44694,-
16129,8,494,51708,-
16129,16,475,15228,-
16129,32,443,15233,-
16129,64,453,43330,-
16129,128,346,43348,-
19354,1,842,8204,-
19354,2,714,8205,-
19354,4,540,52374,-
19354,8,630,38754,-
19354,16,480,38758,-
19354,32,404,39049,-
19354,64,361,43307,-
19354,128,355,43349,-
22580,1,867,52869,-
22580,2,726,47551,-
22580,4,581,58304,-
22580,8,532,42288,-
22580,16,492,47359,-
22580,32,429,46815,-
22580,64,357,46815,-
22580,128,302,43341,-
25806,1,919,45311,-
25806,2,834,55010,-
25806,4,725,55011,-
25806,8,553,35011,-
25806,16,483,6345,-
25806,32,427,40973,-
25806,64,337,10462,-
25806,128,295,43305,-
29032,1,674,7804,-
29032,2,565,14851,-
29032,4,555,4882,-
29032,8,493,8069,-
29032,16,456,15775,-
29032,32,405,11945,-
29032,64,380,8618,-
29032,128,297,11884,-
32258,1,779,13902,-
32258,2,755,28046,-
32258,4,625,45220,-
32258,8,622,63962,-
32258,16,606,63958,-
32258,32,453,11911,-
32258,64,383,11896,-
32258,128,294,40478,-
35483,1,879,47711,-
35483,2,710,47711,-
35483,4,590,47712,-
35483,8,471,42901,-
35483,16,436,42906,-
35483,32,445,15694,-
35483,64,363,46630,-
35483,128,312,40455,-
38709,1,796,36469,-
38709,2,603,36469,-
38709,4,567,42854,-
38709,8,555,7923,-
38709,16,470,7925,-
38709,32,444,15646,-
38709,64,372,41673,-
38709,128,290,40443,-
41935,1,869,45451,-
41935,2,785,45452,-
41935,4,602,45453,-
41935,8,468,55557,-
41935,16,444,55559,-
41935,32,414,10137,-
41935,64,329,41645,-
41935,128,292,10097,-
45161,1,1056,10060,-
45161,2,686,10060,-
45161,4,537,45610,-
45161,8,526,10637,-
45161,16,462,11899,-
45161,32,412,42884,-
45161,64,367,11876,-
45161,128,297,10050,-
48387,1,853,12423,-
48387,2,680,12424,-
48387,4,533,38579,-
48387,8,590,38580,-
48387,16,446,44984,-
48387,32,397,14954,-
48387,64,358,52347,-
48387,128,299,42876,-
51612,1,773,51549,-
51612,2,594,53002,-
51612,4,645,53001,-
51612,8,591,53002,-
51612,16,486,5972,-
51612,32,391,41852,-
51612,64,369,42664,-
51612,128,320,42876,-
54838,1,850,13275,-
54838,2,693,13276,-
54838,4,530,54106,-
54838,8,462,54104,-
54838,16,486,14880,-
54838,32,413,42880,-
54838,64,393,42892,-
