tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,32768,0,2,17881,117,-974,1
Y2,32768,1,15831,141540169,109,-97,0
Y2,32768,2,3789,33876299,109,-44,0
Y2,32768,3,9184,82111358,108,-23,0
Y2,32768,4,12512,111865997,108,-11,0
Y2,32768,5,1330,11891126,108,-8,0
Y2,32768,6,6177,55226683,108,-2,0
Y2,32768,7,115,1028180,108,-2,0
Y2,32768,8,11439,102272629,107,0,0
Y2,32768,9,7663,68512558,107,0,0
Y2,32768,10,9934,88816881,107,0,0
Y2,32768,11,656,5865097,107,0,0
Y2,32768,12,15593,139412283,107,0,0
Y2,32768,13,15916,142300128,107,0,0
Y2,32768,14,9845,88021159,107,0,0
Y4,32768,0,2,17881,117,-974,1
Y4,32768,1,15831,141540169,109,-97,0
Y4,32768,2,3789,33876299,109,-44,0
Y4,32768,3,9184,82111358,108,-23,0
Y4,32768,4,12512,111865997,108,-11,0
Y4,32768,5,1330,11891126,108,-8,0
Y4,32768,6,6177,55226683,108,-2,0
Y4,32768,7,115,1028180,108,-2,0
Y4,32768,8,11439,102272629,107,0,0
Y4,32768,9,7663,68512558,107,0,0
Y4,32768,10,9934,88816881,107,0,0
Y4,32768,11,656,5865097,107,0,0
Y4,32768,12,15593,139412283,107,0,0
Y4,32768,13,15916,142300128,107,0,0
Y4,32768,14,9845,88021159,107,0,0
Y6,32768,0,2,17881,117,-974,1
Y6,32768,1,15831,141540169,109,-97,0
Y6,32768,2,3789,33876299,109,-44,0
Y6,32768,3,9184,82111358,108,-23,0
Y6,32768,4,12512,111865997,108,-11,0
Y6,32768,5,1330,11891126,108,-8,0
Y6,32768,6,6177,55226683,108,-2,0
Y6,32768,7,115,1028180,108,-2,0
Y6,32768,8,11439,102272629,107,0,0
Y6,32768,9,7663,68512558,107,0,0
Y6,32768,10,9934,88816881,107,0,0
Y6,32768,11,656,5865097,107,0,0
Y6,32768,12,15593,139412283,107,0,0
Y6,32768,13,15916,142300128,107,0,0
Y6,32768,14,9845,88021159,107,0,0
