dm,width,sigma_x100,t,verdict
93548,1,820,45422,-
93548,2,661,53220,-
93548,4,544,15483,-
93548,8,478,41171,-
93548,16,482,44297,-
93548,32,450,15495,-
93548,64,376,44289,-
93548,128,349,41306,-
96774,1,788,40133,-
96774,2,603,40134,-
96774,4,612,45928,-
96774,8,470,60999,-
96774,16,462,48252,-
96774,32,424,48260,-
96774,64,347,7440,-
96774,128,361,7491,-
100000,1,745,11158,-
100000,2,632,50994,-
100000,4,608,15390,-
100000,8,539,50995,-
100000,16,479,40366,-
100000,32,442,40357,-
100000,64,375,41677,-
100000,128,328,7461,-
