tag,seg,rank,bin,alpha_hz_x100,ratio_x100,log10p_x100,hit
Y2,32768,0,2,17881,115,-670,1
Y2,32768,1,3894,34815073,108,-17,0
Y2,32768,2,6505,58159232,108,-1,0
Y2,32768,3,2285,20429491,107,0,0
Y2,32768,4,5184,46348571,107,0,0
Y2,32768,5,13534,121003389,107,0,0
Y2,32768,6,13044,116622447,107,0,0
Y2,32768,7,8159,72947144,107,0,0
Y2,32768,8,8843,79062581,107,0,0
Y2,32768,9,8830,78946352,107,0,0
Y2,32768,10,2757,24649500,107,0,0
Y2,32768,11,10936,97775459,107,0,0
Y2,32768,12,1119,10004639,107,0,0
Y2,32768,13,3953,35342574,107,0,0
Y2,32768,14,15194,135844945,107,0,0
Y4,32768,0,2,17881,115,-670,1
Y4,32768,1,3894,34815073,108,-17,0
Y4,32768,2,6505,58159232,108,-1,0
Y4,32768,3,2285,20429491,107,0,0
Y4,32768,4,5184,46348571,107,0,0
Y4,32768,5,13534,121003389,107,0,0
Y4,32768,6,13044,116622447,107,0,0
Y4,32768,7,8159,72947144,107,0,0
Y4,32768,8,8843,79062581,107,0,0
Y4,32768,9,8830,78946352,107,0,0
Y4,32768,10,2757,24649500,107,0,0
Y4,32768,11,10936,97775459,107,0,0
Y4,32768,12,1119,10004639,107,0,0
Y4,32768,13,3953,35342574,107,0,0
Y4,32768,14,15194,135844945,107,0,0
Y6,32768,0,2,17881,115,-670,1
Y6,32768,1,3894,34815073,108,-17,0
Y6,32768,2,6505,58159232,108,-1,0
Y6,32768,3,2285,20429491,107,0,0
Y6,32768,4,5184,46348571,107,0,0
Y6,32768,5,13534,121003389,107,0,0
Y6,32768,6,13044,116622447,107,0,0
Y6,32768,7,8159,72947144,107,0,0
Y6,32768,8,8843,79062581,107,0,0
Y6,32768,9,8830,78946352,107,0,0
Y6,32768,10,2757,24649500,107,0,0
Y6,32768,11,10936,97775459,107,0,0
Y6,32768,12,1119,10004639,107,0,0
Y6,32768,13,3953,35342574,107,0,0
Y6,32768,14,15194,135844945,107,0,0
