dm,width,sigma_x100,t,verdict
0,1,661,52813,-
0,2,628,35500,-
0,4,517,38784,-
0,8,441,47855,-
0,16,409,51208,-
0,32,383,47843,-
0,64,348,48565,-
0,128,267,12674,-
3225,1,768,48575,-
3225,2,646,46764,-
3225,4,635,8366,-
3225,8,606,8368,-
3225,16,591,8369,-
3225,32,503,8378,-
3225,64,363,8363,-
3225,128,300,8411,-
6451,1,989,9924,-
6451,2,756,9925,-
6451,4,638,16799,-
6451,8,547,12158,-
6451,16,497,12159,-
6451,32,467,12673,-
6451,64,419,8344,-
6451,128,361,8378,-
9677,1,801,62292,-
9677,2,644,18609,-
9677,4,650,14222,-
9677,8,498,40448,-
9677,16,465,12636,-
9677,32,468,12647,-
9677,64,378,15569,-
9677,128,362,8318,-
12903,1,733,52813,-
12903,2,698,52813,-
12903,4,621,44952,-
12903,8,469,44950,-
12903,16,423,41268,-
12903,32,438,21217,-
12903,64,414,21212,-
12903,128,322,8295,-
16129,1,986,51127,-
16129,2,687,51127,-
16129,4,523,6534,-
16129,8,489,12542,-
16129,16,448,44954,-
16129,32,393,21187,-
16129,64,434,21194,-
16129,128,300,8326,-
19354,1,734,38784,-
19354,2,753,42239,-
19354,4,574,42238,-
19354,8,496,40682,-
19354,16,459,37346,-
19354,32,459,8343,-
19354,64,370,8327,-
19354,128,295,14182,-
22580,1,740,58970,-
22580,2,680,9558,-
22580,4,540,58970,-
22580,8,534,17306,-
22580,16,454,17308,-
22580,32,419,45836,-
22580,64,368,8309,-
22580,128,278,14182,-
25806,1,905,44197,-
25806,2,723,44197,-
25806,4,620,9606,-
25806,8,482,8142,-
25806,16,493,38939,-
25806,32,437,38945,-
25806,64,338,38930,-
25806,128,282,38940,-
29032,1,706,57372,-
29032,2,597,35500,-
29032,4,564,15994,-
29032,8,540,58915,-
29032,16,448,43012,-
29032,32,416,15995,-
29032,64,379,45288,-
29032,128,303,43924,-
32258,1,713,22580,-
32258,2,628,7946,-
32258,4,603,48587,-
32258,8,524,15973,-
32258,16,527,15969,-
32258,32,402,9537,-
32258,64,331,45691,-
32258,128,307,43880,-
35483,1,760,12260,-
35483,2,702,12260,-
35483,4,511,42651,-
35483,8,489,17559,-
35483,16,473,32891,-
35483,32,418,45650,-
35483,64,388,45668,-
35483,128,285,45291,-
38709,1,807,40900,-
38709,2,608,60569,-
38709,4,618,49469,-
38709,8,523,49469,-
38709,16,449,51205,-
38709,32,434,44946,-
38709,64,398,39646,-
38709,128,284,44995,-
41935,1,870,16958,-
41935,2,708,65181,-
41935,4,662,46430,-
41935,8,538,11888,-
41935,16,472,42548,-
41935,32,413,46209,-
41935,64,364,43723,-
41935,128,308,39593,-
45161,1,772,43856,-
45161,2,621,35500,-
45161,4,594,44952,-
45161,8,467,41842,-
45161,16,471,15781,-
45161,32,425,15789,-
45161,64,375,43716,-
45161,128,361,43697,-
48387,1,752,43810,-
48387,2,690,17364,-
48387,4,511,44952,-
48387,8,521,16197,-
48387,16,437,43025,-
48387,32,408,47824,-
48387,64,392,43662,-
48387,128,358,43647,-
51612,1,753,42114,-
51612,2,662,44953,-
51612,4,584,44952,-
51612,8,506,8024,-
51612,16,461,44948,-
51612,32,427,44943,-
51612,64,354,7765,-
51612,128,369,43612,-
54838,1,783,45258,-
54838,2,663,45258,-
54838,4,576,44952,-
54838,8,542,11981,-
54838,16,444,11982,-
54838,32,420,45273,-
54838,64,399,8351,-
54838,128,359,8342,-
58064,1,769,14243,-
58064,2,629,42022,-
58064,4,592,44952,-
58064,8,549,44953,-
58064,16,473,17306,-
58064,32,425,40459,-
58064,64,404,15756,-
58064,128,392,8327,-
61290,1,771,12260,-
61290,2,670,38240,-
61290,4,632,43519,-
61290,8,580,43518,-
61290,16,594,43514,-
61290,32,462,43506,-
61290,64,387,15564,-
61290,128,409,43457,-
64516,1,736,56726,-
64516,2,671,7481,-
64516,4,517,55780,-
64516,8,484,7484,-
64516,16,468,7840,-
64516,32,475,7849,-
64516,64,458,43484,-
64516,128,377,43454,-
67741,1,810,17302,-
67741,2,651,17303,-
67741,4,550,14244,-
67741,8,549,14243,-
67741,16,454,40469,-
67741,32,458,14231,-
67741,64,393,7817,-
67741,128,325,15729,-
70967,1,821,58242,-
70967,2,711,15694,-
70967,4,707,15695,-
70967,8,660,15697,-
70967,16,581,15694,-
70967,32,488,15693,-
70967,64,402,14216,-
70967,128,336,14249,-
74193,1,1155,9558,-
74193,2,1001,9559,-
74193,4,816,9560,-
74193,8,572,9336,-
74193,16,491,43445,-
74193,32,395,8038,-
