rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,634,15762,214372,1
2,5120,1953,205372,1
3,2048,4882,185099,1
4,2560,3906,171040,1
5,1268,7881,151613,1
6,3413,2929,141663,1
7,4096,2441,131124,1
8,1137,8788,127826,1
