bin_lo,freq_lo_mhz,mean,std,max,median,top3(bin:val)
37748736,2615.332031,1.14525e+11,5.94512e+10,5.82325e+13,1.18031e+11,5767168:5.823e+13;25690112:5.799e+13;30932992:5.798e+13
38797312,2612.402344,1.18242e+11,5.97253e+10,5.7926e+13,1.21848e+11,14155776:5.793e+13;33030144:5.772e+13;2621440:5.757e+13
39845888,2609.472656,1.22632e+11,5.98736e+10,5.7942e+13,1.2639e+11,31981568:5.794e+13;524288:5.751e+13;30932992:5.744e+13
40894464,2606.542969,1.24486e+11,6.01007e+10,5.78908e+13,1.283e+11,31981568:5.789e+13;33030144:5.757e+13;26738688:5.756e+13
41943040,2603.613281,1.23108e+11,5.99262e+10,5.79569e+13,1.26876e+11,25690112:5.796e+13;22544384:5.758e+13;16252928:5.755e+13
42991616,2600.683594,1.20609e+11,5.97006e+10,5.79796e+13,1.24295e+11,29884416:5.798e+13;17301504:5.746e+13;13107200:5.741e+13
44040192,2597.753906,1.20001e+11,5.96839e+10,5.80369e+13,1.23671e+11,13107200:5.804e+13;26738688:5.781e+13;4718592:5.777e+13
45088768,2594.824219,1.22226e+11,5.9924e+10,5.80974e+13,1.2598e+11,24641536:5.81e+13;21495808:5.789e+13;7864320:5.781e+13
46137344,2591.894531,1.25544e+11,6.0006e+10,5.80059e+13,1.29431e+11,27787264:5.801e+13;33030144:5.772e+13;18350080:5.744e+13
47185920,2588.964844,1.27242e+11,5.8953e+10,5.64495e+13,1.31209e+11,33030144:5.645e+13;24641536:5.64e+13;11010048:5.639e+13
48234496,2586.035156,1.26298e+11,5.99156e+10,5.76469e+13,1.30257e+11,29884416:5.765e+13;6815744:5.727e+13;31981568:5.725e+13
49283072,2583.105469,1.23217e+11,5.97141e+10,5.76154e+13,1.27045e+11,23592960:5.762e+13;28835840:5.754e+13;3670016:5.752e+13
50331648,2580.175781,1.21802e+11,5.96317e+10,5.73198e+13,1.2559e+11,20447232:5.732e+13;1572864:5.731e+13;28835840:5.727e+13
51380224,2577.246094,1.23022e+11,5.9786e+10,5.75764e+13,1.26861e+11,22544384:5.758e+13;26738688:5.754e+13;24641536:5.74e+13
52428800,2574.316406,1.25662e+11,5.99562e+10,5.75873e+13,1.29591e+11,11010048:5.759e+13;19398656:5.75e+13;28835840:5.741e+13
53477376,2571.386719,1.27631e+11,5.99747e+10,5.76248e+13,1.3164e+11,19398656:5.762e+13;5767168:5.744e+13;1572864:5.738e+13
54525952,2568.457031,1.27473e+11,6.00857e+10,5.7543e+13,1.31463e+11,19398656:5.754e+13;7864320:5.747e+13;17301504:5.732e+13
55574528,2565.527344,1.26144e+11,5.99449e+10,5.769e+13,1.30064e+11,28835840:5.769e+13;4718592:5.745e+13;25690112:5.737e+13
56623104,2562.597656,1.23567e+11,5.95891e+10,5.74886e+13,1.26939e+11,4718592:5.749e+13;3670016:5.747e+13;31981568:5.74e+13
57671680,2559.667969,1.30483e+11,6.02953e+10,5.78843e+13,1.34506e+11,16252928:5.788e+13;3670016:5.778e+13;26738688:5.741e+13
58720256,2556.738281,1.36713e+11,6.07737e+10,5.78911e+13,1.40893e+11,18350080:5.789e+13;20447232:5.775e+13;29884416:5.755e+13
59768832,2553.808594,1.43054e+11,6.13628e+10,5.77331e+13,1.47407e+11,29884416:5.773e+13;20447232:5.771e+13;26738688:5.768e+13
60817408,2550.878906,1.47382e+11,6.17397e+10,5.79629e+13,1.51843e+11,33030144:5.796e+13;20447232:5.789e+13;7864320:5.772e+13
61865984,2547.949219,1.49506e+11,6.18816e+10,5.83192e+13,1.53979e+11,30932992:5.832e+13;3670016:5.812e+13;14155776:5.782e+13
62914560,2545.019531,1.51983e+11,6.21872e+10,5.78101e+13,1.56475e+11,26738688:5.781e+13;29884416:5.773e+13;27787264:5.758e+13
