rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,3999,2500,43395838,1
2,8000,1249,30129839,1
3,12000,833,22762318,1
4,15997,625,19693874,1
5,19994,500,16538494,1
6,24001,416,16076613,1
7,1333,7500,5595498,1
8,2666,3750,3959916,1
