rank,period_ms_x100,freq_hz_x100,sigma_x100,detected
1,37783,264,16864,1
2,75567,132,11950,1
3,113118,88,9750,1
4,150824,66,8571,1
5,188919,52,7593,1
6,226236,44,6958,1
7,495275,20,2953,1
8,124238,80,2894,1
